province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,UNDER CONSTRUCTION,1,2304,2.06,25742,23.05,394
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,LESS THAN 5 YEARS,1,8879,7.95,25742,23.05,2850
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,5-10 YEARS,1,24780,22.19,25742,23.05,5363
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,11-50 YEARS,1,61960,55.49,25742,23.05,14367
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,OVER 50 YEARS,1,13735,12.3,25742,23.05,2768
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,UNDER CONSTRUCTION,2,2304,2.06,41204,36.9,730
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,LESS THAN 5 YEARS,2,8879,7.95,41204,36.9,3104
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,5-10 YEARS,2,24780,22.19,41204,36.9,9781
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,11-50 YEARS,2,61960,55.49,41204,36.9,22224
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,OVER 50 YEARS,2,13735,12.3,41204,36.9,5365
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,UNDER CONSTRUCTION,3,2304,2.06,21500,19.26,655
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,LESS THAN 5 YEARS,3,8879,7.95,21500,19.26,1472
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,5-10 YEARS,3,24780,22.19,21500,19.26,5009
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,11-50 YEARS,3,61960,55.49,21500,19.26,11731
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,OVER 50 YEARS,3,13735,12.3,21500,19.26,2633
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,UNDER CONSTRUCTION,4,2304,2.06,10909,9.77,231
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,LESS THAN 5 YEARS,4,8879,7.95,10909,9.77,741
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,5-10 YEARS,4,24780,22.19,10909,9.77,2477
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,11-50 YEARS,4,61960,55.49,10909,9.77,6169
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,OVER 50 YEARS,4,13735,12.3,10909,9.77,1291
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,UNDER CONSTRUCTION,5,2304,2.06,4194,3.76,76
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,LESS THAN 5 YEARS,5,8879,7.95,4194,3.76,266
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,5-10 YEARS,5,24780,22.19,4194,3.76,796
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,11-50 YEARS,5,61960,55.49,4194,3.76,2481
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,OVER 50 YEARS,5,13735,12.3,4194,3.76,575
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,UNDER CONSTRUCTION,6,2304,2.06,2798,2.51,72
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,LESS THAN 5 YEARS,6,8879,7.95,2798,2.51,149
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,5-10 YEARS,6,24780,22.19,2798,2.51,450
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,11-50 YEARS,6,61960,55.49,2798,2.51,1749
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,OVER 50 YEARS,6,13735,12.3,2798,2.51,378
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,UNDER CONSTRUCTION,7,2304,2.06,1811,1.62,47
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,LESS THAN 5 YEARS,7,8879,7.95,1811,1.62,81
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,5-10 YEARS,7,24780,22.19,1811,1.62,295
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,11-50 YEARS,7,61960,55.49,1811,1.62,1191
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,OVER 50 YEARS,7,13735,12.3,1811,1.62,197
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,UNDER CONSTRUCTION,8,2304,2.06,1096,0.98,43
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,LESS THAN 5 YEARS,8,8879,7.95,1096,0.98,70
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,5-10 YEARS,8,24780,22.19,1096,0.98,216
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,11-50 YEARS,8,61960,55.49,1096,0.98,585
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,OVER 50 YEARS,8,13735,12.3,1096,0.98,182
BALOCHISTAN,122,PISHIN DISTRICT,PISHIN DISTRICT,TOTAL,UNDER CONSTRUCTION,9 AND MORE,2304,2.06,2404,2.15,56
