province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,facility,source,total_by_facility,percent_by_facility,count
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,5-10 YEARS,42768,36.74,LATRINE,OTHER,5947,5.11,2154
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,5-10 YEARS,42768,36.74,LATRINE,NONE,20224,17.37,7799
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,11-50 YEARS,48044,41.27,KITCHEN,SEPARATE,53881,46.29,23262
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,11-50 YEARS,48044,41.27,KITCHEN,SHARED,35179,30.22,14900
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,11-50 YEARS,48044,41.27,KITCHEN,NONE,27341,23.49,9882
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,11-50 YEARS,48044,41.27,BATH,SEPARATE,49989,42.95,21856
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,11-50 YEARS,48044,41.27,BATH,SHARED,37501,32.22,15825
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,11-50 YEARS,48044,41.27,BATH,NONE,28911,24.84,10363
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,11-50 YEARS,48044,41.27,LATRINE,SEWER,26108,22.43,12954
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,11-50 YEARS,48044,41.27,LATRINE,SEPTIC TANK,7866,6.76,2693
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,11-50 YEARS,48044,41.27,LATRINE,OPEN DRAIN,30287,26.02,14288
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,11-50 YEARS,48044,41.27,LATRINE,PIT WITH SLAB,25969,22.31,9355
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,11-50 YEARS,48044,41.27,LATRINE,OTHER,5947,5.11,1974
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,11-50 YEARS,48044,41.27,LATRINE,NONE,20224,17.37,6780
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,OVER 50 YEARS,4542,3.9,KITCHEN,SEPARATE,53881,46.29,2405
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,OVER 50 YEARS,4542,3.9,KITCHEN,SHARED,35179,30.22,1108
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,OVER 50 YEARS,4542,3.9,KITCHEN,NONE,27341,23.49,1029
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,OVER 50 YEARS,4542,3.9,BATH,SEPARATE,49989,42.95,2133
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,OVER 50 YEARS,4542,3.9,BATH,SHARED,37501,32.22,1155
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,OVER 50 YEARS,4542,3.9,BATH,NONE,28911,24.84,1254
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,OVER 50 YEARS,4542,3.9,LATRINE,SEWER,26108,22.43,949
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,OVER 50 YEARS,4542,3.9,LATRINE,SEPTIC TANK,7866,6.76,346
SINDH,087,MATIARI DISTRICT,MATIARI DISTRICT,TOTAL,OVER 50 YEARS,4542,3.9,LATRINE,OPEN DRAIN,30287,26.02,1145
