province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,housing_component,housing_material,total_by_material,percent_by_material,count
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,11-50 YEARS,39223,25.71,ROOF,CEMENT/IRON SHEETS,5523,3.62,1307
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,11-50 YEARS,39223,25.71,ROOF,GARDER/T.IRON,58199,38.15,18369
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,11-50 YEARS,39223,25.71,ROOF,WOOD/BAMBOO,81870,53.67,18139
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,11-50 YEARS,39223,25.71,ROOF,OTHERS,4024,2.64,728
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OVER 50 YEARS,6567,4.31,WALL,BAKED BRICKS/BLOCKS/STONES,63885,41.88,1857
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OVER 50 YEARS,6567,4.31,WALL,UNBAKED BRICKS/MUD,45402,29.76,1765
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OVER 50 YEARS,6567,4.31,WALL,WOOD/BAMBOO,39348,25.8,2277
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OVER 50 YEARS,6567,4.31,WALL,OTHERS,3906,2.56,668
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OVER 50 YEARS,6567,4.31,ROOF,RCC/RBC,2925,1.92,64
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OVER 50 YEARS,6567,4.31,ROOF,CEMENT/IRON SHEETS,5523,3.62,361
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OVER 50 YEARS,6567,4.31,ROOF,GARDER/T.IRON,58199,38.15,1733
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OVER 50 YEARS,6567,4.31,ROOF,WOOD/BAMBOO,81870,53.67,3896
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,TOTAL,OVER 50 YEARS,6567,4.31,ROOF,OTHERS,4024,2.64,513
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,RURAL,UNDER CONSTRUCTION,5251,4.36,WALL,BAKED BRICKS/BLOCKS/STONES,38897,32.32,2257
