province_name,district_code,district_name,area_name,area_type,gender_type,total_by_gender,percent_by_gender,housing_type,total_by_housing_type,percent_by_housing_type,count
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,URBAN,FEMALE,122389,48.25,REGULAR,43714,98.58,120599
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,URBAN,FEMALE,122389,48.25,INSTITUTIONAL,606,1.37,1779
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,URBAN,FEMALE,122389,48.25,HOMELESS,22,0.05,11
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,URBAN,FEMALE,122389,48.25,TOTAL,44342,100,122389
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,URBAN,TRANSGENDER,39,0.02,REGULAR,43714,98.58,38
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,URBAN,TRANSGENDER,39,0.02,INSTITUTIONAL,606,1.37,1
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,URBAN,TRANSGENDER,39,0.02,HOMELESS,22,0.05,0
SINDH,076,KASHMOR DISTRICT,KASHMOR DISTRICT,URBAN,TRANSGENDER,39,0.02,TOTAL,44342,100,39
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,ALL SEXES,366111,100,REGULAR,65379,98.62,360106
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,ALL SEXES,366111,100,INSTITUTIONAL,885,1.34,5977
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,ALL SEXES,366111,100,HOMELESS,28,0.04,28
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,ALL SEXES,366111,100,TOTAL,66292,100,366111
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,MALE,190070,51.92,REGULAR,65379,98.62,186821
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,MALE,190070,51.92,INSTITUTIONAL,885,1.34,3233
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,MALE,190070,51.92,HOMELESS,28,0.04,16
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,MALE,190070,51.92,TOTAL,66292,100,190070
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,FEMALE,175998,48.07,REGULAR,65379,98.62,173243
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,FEMALE,175998,48.07,INSTITUTIONAL,885,1.34,2743
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,FEMALE,175998,48.07,HOMELESS,28,0.04,12
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,FEMALE,175998,48.07,TOTAL,66292,100,175998
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,TRANSGENDER,43,0.01,REGULAR,65379,98.62,42
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,TRANSGENDER,43,0.01,INSTITUTIONAL,885,1.34,1
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,TRANSGENDER,43,0.01,HOMELESS,28,0.04,0
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,TOTAL,TRANSGENDER,43,0.01,TOTAL,66292,100,43
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,RURAL,ALL SEXES,229942,100,REGULAR,41390,98.85,226641
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,RURAL,ALL SEXES,229942,100,INSTITUTIONAL,473,1.13,3292
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,RURAL,ALL SEXES,229942,100,HOMELESS,9,0.02,9
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,RURAL,ALL SEXES,229942,100,TOTAL,41872,100,229942
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,RURAL,MALE,119612,52.02,REGULAR,41390,98.85,117863
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,RURAL,MALE,119612,52.02,INSTITUTIONAL,473,1.13,1743
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,RURAL,MALE,119612,52.02,HOMELESS,9,0.02,6
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,RURAL,MALE,119612,52.02,TOTAL,41872,100,119612
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,RURAL,FEMALE,110303,47.97,REGULAR,41390,98.85,108751
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,RURAL,FEMALE,110303,47.97,INSTITUTIONAL,473,1.13,1549
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,RURAL,FEMALE,110303,47.97,HOMELESS,9,0.02,3
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,RURAL,FEMALE,110303,47.97,TOTAL,41872,100,110303
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,RURAL,TRANSGENDER,27,0.01,REGULAR,41390,98.85,27
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,RURAL,TRANSGENDER,27,0.01,INSTITUTIONAL,473,1.13,0
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,RURAL,TRANSGENDER,27,0.01,HOMELESS,9,0.02,0
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,RURAL,TRANSGENDER,27,0.01,TOTAL,41872,100,27
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,URBAN,ALL SEXES,136169,100,REGULAR,23989,98.24,133465
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,URBAN,ALL SEXES,136169,100,INSTITUTIONAL,412,1.69,2685
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,URBAN,ALL SEXES,136169,100,HOMELESS,19,0.08,19
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,URBAN,ALL SEXES,136169,100,TOTAL,24420,100,136169
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,URBAN,MALE,70458,51.74,REGULAR,23989,98.24,68958
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,URBAN,MALE,70458,51.74,INSTITUTIONAL,412,1.69,1490
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,URBAN,MALE,70458,51.74,HOMELESS,19,0.08,10
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,URBAN,MALE,70458,51.74,TOTAL,24420,100,70458
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,URBAN,FEMALE,65695,48.25,REGULAR,23989,98.24,64492
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,URBAN,FEMALE,65695,48.25,INSTITUTIONAL,412,1.69,1194
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,URBAN,FEMALE,65695,48.25,HOMELESS,19,0.08,9
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,URBAN,FEMALE,65695,48.25,TOTAL,24420,100,65695
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,URBAN,TRANSGENDER,16,0.01,REGULAR,23989,98.24,15
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,URBAN,TRANSGENDER,16,0.01,INSTITUTIONAL,412,1.69,1
SINDH,076,KASHMOR DISTRICT,KANDHKOT TALUKA,URBAN,TRANSGENDER,16,0.01,HOMELESS,19,0.08,0
