province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,facility,source,total_by_facility,percent_by_facility,count
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,RENT FREE,23237,30.01,LATRINE,PIT WITH SLAB,16428,21.22,2505
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,RENT FREE,23237,30.01,LATRINE,OTHER,15098,19.5,5827
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,TOTAL,RENT FREE,23237,30.01,LATRINE,NONE,22500,29.06,10978
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,OWNED,32577,59.39,KITCHEN,SEPARATE,11300,20.6,8996
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,OWNED,32577,59.39,KITCHEN,SHARED,8970,16.35,7165
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,OWNED,32577,59.39,KITCHEN,NONE,34581,63.05,16416
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,OWNED,32577,59.39,BATH,SEPARATE,11817,21.54,9250
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,OWNED,32577,59.39,BATH,SHARED,9617,17.53,7696
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,OWNED,32577,59.39,BATH,NONE,33417,60.92,15631
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,OWNED,32577,59.39,LATRINE,SEWER,875,1.6,674
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,OWNED,32577,59.39,LATRINE,SEPTIC TANK,2793,5.09,2198
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,OWNED,32577,59.39,LATRINE,OPEN DRAIN,5767,10.51,3326
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,OWNED,32577,59.39,LATRINE,PIT WITH SLAB,10107,18.43,7797
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,OWNED,32577,59.39,LATRINE,OTHER,14012,25.55,8206
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,OWNED,32577,59.39,LATRINE,NONE,21297,38.83,10376
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,RENTED,335,0.61,KITCHEN,SEPARATE,11300,20.6,117
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,RENTED,335,0.61,KITCHEN,SHARED,8970,16.35,38
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,RENTED,335,0.61,KITCHEN,NONE,34581,63.05,180
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,RENTED,335,0.61,BATH,SEPARATE,11817,21.54,108
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,RENTED,335,0.61,BATH,SHARED,9617,17.53,47
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,RENTED,335,0.61,BATH,NONE,33417,60.92,180
BALOCHISTAN,114,JAFFARABAD DISTRICT,JAFFARABAD DISTRICT,RURAL,RENTED,335,0.61,LATRINE,SEWER,875,1.6,23
