province_name,district_code,district_name,area_name,area_type,gender,age_group,count
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,ALL SEXES,ALL AGES,4322
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,ALL SEXES,00 - 04,232
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,ALL SEXES,05 - 09,515
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,ALL SEXES,10 - 14,505
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,ALL SEXES,15 - 19,562
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,ALL SEXES,20 - 24,498
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,ALL SEXES,25 - 29,473
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,ALL SEXES,30 - 34,369
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,ALL SEXES,35 - 39,282
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,ALL SEXES,40 - 44,229
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,ALL SEXES,45 - 49,175
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,ALL SEXES,50 - 54,129
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,ALL SEXES,55 - 59,85
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,ALL SEXES,60 - 64,100
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,ALL SEXES,65 - 69,65
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,ALL SEXES,70 - 74,40
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,63
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,MALE,ALL AGES,2747
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,MALE,00 - 04,133
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,MALE,05 - 09,278
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,MALE,10 - 14,285
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,MALE,15 - 19,346
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,MALE,20 - 24,320
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,MALE,25 - 29,319
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,MALE,30 - 34,242
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,MALE,35 - 39,207
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,MALE,40 - 44,149
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,MALE,45 - 49,127
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,MALE,50 - 54,98
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,MALE,55 - 59,68
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,MALE,60 - 64,72
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,MALE,65 - 69,48
SINDH,097,MALIR DISTRICT,MALIR DISTRICT,TOTAL,MALE,70 - 74,17
