province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,7 PERSONS,4,8573,14.08,3.57,11008,18.08,7.57,1585
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,8 PERSONS,4,6639,10.9,3.67,11008,18.08,7.57,1334
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,9 PERSONS,4,4992,8.2,3.86,11008,18.08,7.57,938
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,10 PERSONS AND ABOVE,4,11940,19.61,4.38,11008,18.08,7.57,2472
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,1 PERSON,5,710,1.17,2.31,6271,10.3,8.1,30
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,2 PERSONS,5,1705,2.8,2.5,6271,10.3,8.1,67
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,3 PERSONS,5,2855,4.69,2.82,6271,10.3,8.1,172
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,4 PERSONS,5,5322,8.74,3.04,6271,10.3,8.1,381
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,5 PERSONS,5,8409,13.81,3.26,6271,10.3,8.1,715
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,6 PERSONS,5,9738,15.99,3.41,6271,10.3,8.1,925
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,7 PERSONS,5,8573,14.08,3.57,6271,10.3,8.1,905
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,8 PERSONS,5,6639,10.9,3.67,6271,10.3,8.1,724
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,9 PERSONS,5,4992,8.2,3.86,6271,10.3,8.1,627
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,10 PERSONS AND ABOVE,5,11940,19.61,4.38,6271,10.3,8.1,1725
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,1 PERSON,6,710,1.17,2.31,3836,6.3,8.42,20
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,2 PERSONS,6,1705,2.8,2.5,3836,6.3,8.42,46
KHYBER PAKTUNKHWA,020,CHITRAL DISTRICT,CHITRAL DISTRICT,TOTAL,3 PERSONS,6,2855,4.69,2.82,3836,6.3,8.42,85
