province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,UNDER CONSTRUCTION,1,659,1.57,8015,19.09,109
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,LESS THAN 5 YEARS,1,3863,9.2,8015,19.09,838
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,5-10 YEARS,1,9307,22.16,8015,19.09,1512
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,11-50 YEARS,1,23181,55.21,8015,19.09,4607
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,OVER 50 YEARS,1,4980,11.86,8015,19.09,949
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,UNDER CONSTRUCTION,2,659,1.57,13183,31.4,174
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,LESS THAN 5 YEARS,2,3863,9.2,13183,31.4,1203
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,5-10 YEARS,2,9307,22.16,13183,31.4,2842
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,11-50 YEARS,2,23181,55.21,13183,31.4,7514
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,OVER 50 YEARS,2,4980,11.86,13183,31.4,1450
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,UNDER CONSTRUCTION,3,659,1.57,9401,22.39,146
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,LESS THAN 5 YEARS,3,3863,9.2,9401,22.39,844
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,5-10 YEARS,3,9307,22.16,9401,22.39,2380
