province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,1 PERSON,1,1228,2.27,1.8,10512,19.46,4.64,724
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,2 PERSONS,1,5141,9.52,1.98,10512,19.46,4.64,2248
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,3 PERSONS,1,4467,8.27,2.21,10512,19.46,4.64,1535
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,4 PERSONS,1,5312,9.83,2.37,10512,19.46,4.64,1455
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,5 PERSONS,1,5566,10.3,2.56,10512,19.46,4.64,1158
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,6 PERSONS,1,5686,10.52,2.7,10512,19.46,4.64,979
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,7 PERSONS,1,5447,10.08,2.88,10512,19.46,4.64,812
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,8 PERSONS,1,5107,9.45,3.04,10512,19.46,4.64,549
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,9 PERSONS,1,4353,8.06,3.21,10512,19.46,4.64,397
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,10 PERSONS AND ABOVE,1,11719,21.69,3.98,10512,19.46,4.64,655
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,1 PERSON,2,1228,2.27,1.8,16939,31.35,6.04,268
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,2 PERSONS,2,5141,9.52,1.98,16939,31.35,6.04,1844
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,3 PERSONS,2,4467,8.27,2.21,16939,31.35,6.04,1659
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,4 PERSONS,2,5312,9.83,2.37,16939,31.35,6.04,2085
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,5 PERSONS,2,5566,10.3,2.56,16939,31.35,6.04,2171
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,6 PERSONS,2,5686,10.52,2.7,16939,31.35,6.04,2113
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,7 PERSONS,2,5447,10.08,2.88,16939,31.35,6.04,1808
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,8 PERSONS,2,5107,9.45,3.04,16939,31.35,6.04,1626
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,9 PERSONS,2,4353,8.06,3.21,16939,31.35,6.04,1209
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,10 PERSONS AND ABOVE,2,11719,21.69,3.98,16939,31.35,6.04,2156
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,1 PERSON,3,1228,2.27,1.8,12237,22.65,7.42,126
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,2 PERSONS,3,5141,9.52,1.98,12237,22.65,7.42,577
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,3 PERSONS,3,4467,8.27,2.21,12237,22.65,7.42,719
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,4 PERSONS,3,5312,9.83,2.37,12237,22.65,7.42,981
BALOCHISTAN,131,LORALAI DISTRICT,LORALAI DISTRICT,TOTAL,5 PERSONS,3,5566,10.3,2.56,12237,22.65,7.42,1258
