province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,housing_component,housing_material,total_by_material,percent_by_material,count
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,OWNED,206973,93.92,ROOF,WOOD/BAMBOO,26900,12.21,22620
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,OWNED,206973,93.92,ROOF,OTHERS,2622,1.19,2121
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,RENTED,1755,0.8,WALL,BAKED BRICKS/BLOCKS/STONES,171422,77.78,1372
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,RENTED,1755,0.8,WALL,UNBAKED BRICKS/MUD,44609,20.24,336
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,RENTED,1755,0.8,WALL,WOOD/BAMBOO,1619,0.73,19
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,RENTED,1755,0.8,WALL,OTHERS,2732,1.24,28
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,RENTED,1755,0.8,ROOF,RCC/RBC,5199,2.36,109
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,RENTED,1755,0.8,ROOF,CEMENT/IRON SHEETS,2053,0.93,30
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,RENTED,1755,0.8,ROOF,GARDER/T.IRON,183608,83.31,1281
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,RENTED,1755,0.8,ROOF,WOOD/BAMBOO,26900,12.21,303
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,RENTED,1755,0.8,ROOF,OTHERS,2622,1.19,32
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,RENT FREE,11654,5.29,WALL,BAKED BRICKS/BLOCKS/STONES,171422,77.78,6201
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,RURAL,RENT FREE,11654,5.29,WALL,UNBAKED BRICKS/MUD,44609,20.24,4670
