province_name,district_code,district_name,area_name,area_type,marital_status,household_head_relationship,gender,count
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,TOTAL,HEAD,ALL SEXES,262661
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,TOTAL,HEAD,MALE,226178
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,TOTAL,HEAD,FEMALE,36449
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,TOTAL,HEAD,TRANSGENDER,34
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,TOTAL,SPOUSE,ALL SEXES,224455
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,TOTAL,SPOUSE,MALE,13606
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,TOTAL,SPOUSE,FEMALE,210849
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,TOTAL,SPOUSE,TRANSGENDER,NA
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,ALL SEXES,277258
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,MALE,183908
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,FEMALE,93337
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,TOTAL,SON/DAUGHTER,TRANSGENDER,13
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,ALL SEXES,71497
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,MALE,1358
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,TOTAL,DAUGHTER/SON IN LAW,FEMALE,70139
