province_name,district_code,district_name,area_name,area_type,gender,age_group,total_population,literacy_ratio,literacy_status,count
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,35 - 39,104469,41.55,FORMAL LITERATE,42717
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,40 - 44,78356,36.67,FORMAL LITERATE,28253
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,45 - 49,66879,30.79,FORMAL LITERATE,20147
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,50 - 54,56486,28.77,FORMAL LITERATE,15839
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,55 - 59,37720,24.58,FORMAL LITERATE,9010
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,60 - 64,33825,21.28,FORMAL LITERATE,6890
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,65 - 69,25119,17.48,FORMAL LITERATE,4162
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,70 - 74,17383,16.17,FORMAL LITERATE,2597
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,21234,13.73,FORMAL LITERATE,2657
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,1196761,49.88,INFORMAL LITERATE,6381
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,10 - 14,210057,74.58,INFORMAL LITERATE,405
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,15 - 19,169540,66.25,INFORMAL LITERATE,476
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,20 - 24,141720,57.49,INFORMAL LITERATE,696
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,25 - 29,125434,49.83,INFORMAL LITERATE,777
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,30 - 34,108539,44.67,INFORMAL LITERATE,733
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,35 - 39,104469,41.55,INFORMAL LITERATE,685
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,40 - 44,78356,36.67,INFORMAL LITERATE,478
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,45 - 49,66879,30.79,INFORMAL LITERATE,445
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,50 - 54,56486,28.77,INFORMAL LITERATE,414
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,55 - 59,37720,24.58,INFORMAL LITERATE,263
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,60 - 64,33825,21.28,INFORMAL LITERATE,307
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,65 - 69,25119,17.48,INFORMAL LITERATE,229
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,70 - 74,17383,16.17,INFORMAL LITERATE,214
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,21234,13.73,INFORMAL LITERATE,259
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,10 AND ABOVE,600422,61.61,ILLITERATE,230519
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,10 - 14,110465,79.02,ILLITERATE,23177
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,15 - 19,86989,73.87,ILLITERATE,22730
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,20 - 24,69258,68.61,ILLITERATE,21741
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,25 - 29,59794,63.5,ILLITERATE,21822
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,30 - 34,51041,59.91,ILLITERATE,20463
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,35 - 39,52567,58.39,ILLITERATE,21871
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,40 - 44,38914,54,ILLITERATE,17899
PUNJAB,073,LODHRAN DISTRICT,LODHRAN DISTRICT,TOTAL,MALE,45 - 49,33629,46.97,ILLITERATE,17832
