province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,facility,source,total_by_facility,percent_by_facility,count
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,RENT FREE,10708,6.12,LATRINE,OTHER,835,0.48,74
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,RENT FREE,10708,6.12,LATRINE,NONE,31710,18.12,5516
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,OWNED,103684,91.05,KITCHEN,SEPARATE,58584,51.44,55362
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,OWNED,103684,91.05,KITCHEN,SHARED,12960,11.38,12315
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,OWNED,103684,91.05,KITCHEN,NONE,42338,37.18,36007
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,OWNED,103684,91.05,BATH,SEPARATE,61256,53.79,58022
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,OWNED,103684,91.05,BATH,SHARED,17577,15.43,16717
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,OWNED,103684,91.05,BATH,NONE,35049,30.78,28945
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,OWNED,103684,91.05,LATRINE,SEWER,6492,5.7,5826
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,OWNED,103684,91.05,LATRINE,SEPTIC TANK,28161,24.73,26854
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,OWNED,103684,91.05,LATRINE,OPEN DRAIN,13754,12.08,12569
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,OWNED,103684,91.05,LATRINE,PIT WITH SLAB,35441,31.12,33775
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,OWNED,103684,91.05,LATRINE,OTHER,534,0.47,486
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,OWNED,103684,91.05,LATRINE,NONE,29500,25.9,24174
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,RENTED,1577,1.38,KITCHEN,SEPARATE,58584,51.44,728
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,RENTED,1577,1.38,KITCHEN,SHARED,12960,11.38,152
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,RENTED,1577,1.38,KITCHEN,NONE,42338,37.18,697
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,RENTED,1577,1.38,BATH,SEPARATE,61256,53.79,866
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,RENTED,1577,1.38,BATH,SHARED,17577,15.43,248
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,RENTED,1577,1.38,BATH,NONE,35049,30.78,463
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,RENTED,1577,1.38,LATRINE,SEWER,6492,5.7,160
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,RURAL,RENTED,1577,1.38,LATRINE,SEPTIC TANK,28161,24.73,356
