province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,4 PERSONS,4,19452,11.12,2.42,23133,13.22,7.59,2032
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5 PERSONS,4,27513,15.72,2.53,23133,13.22,7.59,3019
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,6 PERSONS,4,29016,16.58,2.63,23133,13.22,7.59,3485
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,7 PERSONS,4,23014,13.15,2.74,23133,13.22,7.59,3095
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,8 PERSONS,4,16182,9.25,2.9,23133,13.22,7.59,2390
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,9 PERSONS,4,10468,5.98,3.1,23133,13.22,7.59,1764
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,10 PERSONS AND ABOVE,4,25194,14.4,3.86,23133,13.22,7.59,5497
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,1 PERSON,5,3304,1.89,2.13,9831,5.62,8.29,90
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,2 PERSONS,5,8166,4.67,2.11,9831,5.62,8.29,191
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,3 PERSONS,5,12658,7.23,2.27,9831,5.62,8.29,369
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,4 PERSONS,5,19452,11.12,2.42,9831,5.62,8.29,738
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5 PERSONS,5,27513,15.72,2.53,9831,5.62,8.29,1177
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,6 PERSONS,5,29016,16.58,2.63,9831,5.62,8.29,1339
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,7 PERSONS,5,23014,13.15,2.74,9831,5.62,8.29,1196
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,8 PERSONS,5,16182,9.25,2.9,9831,5.62,8.29,1019
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,9 PERSONS,5,10468,5.98,3.1,9831,5.62,8.29,755
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,10 PERSONS AND ABOVE,5,25194,14.4,3.86,9831,5.62,8.29,2957
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,1 PERSON,6,3304,1.89,2.13,5762,3.29,8.98,61
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,2 PERSONS,6,8166,4.67,2.11,5762,3.29,8.98,101
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,3 PERSONS,6,12658,7.23,2.27,5762,3.29,8.98,198
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,4 PERSONS,6,19452,11.12,2.42,5762,3.29,8.98,334
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5 PERSONS,6,27513,15.72,2.53,5762,3.29,8.98,598
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,6 PERSONS,6,29016,16.58,2.63,5762,3.29,8.98,724
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,7 PERSONS,6,23014,13.15,2.74,5762,3.29,8.98,634
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,8 PERSONS,6,16182,9.25,2.9,5762,3.29,8.98,561
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,9 PERSONS,6,10468,5.98,3.1,5762,3.29,8.98,440
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,10 PERSONS AND ABOVE,6,25194,14.4,3.86,5762,3.29,8.98,2111
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,1 PERSON,7,3304,1.89,2.13,2339,1.34,9.21,24
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,2 PERSONS,7,8166,4.67,2.11,2339,1.34,9.21,51
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,3 PERSONS,7,12658,7.23,2.27,2339,1.34,9.21,77
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,4 PERSONS,7,19452,11.12,2.42,2339,1.34,9.21,151
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5 PERSONS,7,27513,15.72,2.53,2339,1.34,9.21,241
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,6 PERSONS,7,29016,16.58,2.63,2339,1.34,9.21,291
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,7 PERSONS,7,23014,13.15,2.74,2339,1.34,9.21,252
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,8 PERSONS,7,16182,9.25,2.9,2339,1.34,9.21,198
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,9 PERSONS,7,10468,5.98,3.1,2339,1.34,9.21,178
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,10 PERSONS AND ABOVE,7,25194,14.4,3.86,2339,1.34,9.21,876
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,1 PERSON,8,3304,1.89,2.13,1570,0.9,9.76,16
