province_name,district_code,district_name,area_name,area_type,construction_age,roof_material,total_by_roof_material,percent_by_roof_material,wall_material,total_by_wall_material,percent_by_wall_material,count
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,11608,7.42,BAKED BRICKS/BLOCKS/STONES,43447,27.77,4254
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,11608,7.42,UNBAKED BRICKS/MUD,1621,1.04,133
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,11608,7.42,WOOD/BAMBOO,177,0.11,7
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,11608,7.42,OTHERS,392,0.25,3
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,11608,7.42,BAKED BRICKS/BLOCKS/STONES,73406,46.93,3572
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,11608,7.42,UNBAKED BRICKS/MUD,5003,3.2,179
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,11608,7.42,WOOD/BAMBOO,238,0.15,10
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,11608,7.42,OTHERS,726,0.46,8
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,11608,7.42,BAKED BRICKS/BLOCKS/STONES,2653,1.7,70
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,11608,7.42,UNBAKED BRICKS/MUD,483,0.31,8
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,11608,7.42,WOOD/BAMBOO,23,0.01,1
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,11608,7.42,OTHERS,50,0.03,0
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,GARDER/T.IRON,64344,41.13,BAKED BRICKS/BLOCKS/STONES,1835,1.17,605
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,GARDER/T.IRON,64344,41.13,UNBAKED BRICKS/MUD,182,0.12,24
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,GARDER/T.IRON,64344,41.13,WOOD/BAMBOO,22,0.01,4
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,GARDER/T.IRON,64344,41.13,OTHERS,52,0.03,3
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,GARDER/T.IRON,64344,41.13,BAKED BRICKS/BLOCKS/STONES,24451,15.63,10381
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,GARDER/T.IRON,64344,41.13,UNBAKED BRICKS/MUD,1080,0.69,307
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,GARDER/T.IRON,64344,41.13,WOOD/BAMBOO,112,0.07,29
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,GARDER/T.IRON,64344,41.13,OTHERS,475,0.3,18
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5 - 10 YEARS,GARDER/T.IRON,64344,41.13,BAKED BRICKS/BLOCKS/STONES,43447,27.77,20466
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5 - 10 YEARS,GARDER/T.IRON,64344,41.13,UNBAKED BRICKS/MUD,1621,1.04,429
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5 - 10 YEARS,GARDER/T.IRON,64344,41.13,WOOD/BAMBOO,177,0.11,57
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5 - 10 YEARS,GARDER/T.IRON,64344,41.13,OTHERS,392,0.25,28
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,11 - 50 YEARS,GARDER/T.IRON,64344,41.13,BAKED BRICKS/BLOCKS/STONES,73406,46.93,30587
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,11 - 50 YEARS,GARDER/T.IRON,64344,41.13,UNBAKED BRICKS/MUD,5003,3.2,712
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,11 - 50 YEARS,GARDER/T.IRON,64344,41.13,WOOD/BAMBOO,238,0.15,39
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,11 - 50 YEARS,GARDER/T.IRON,64344,41.13,OTHERS,726,0.46,60
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,OVER 50 YEARS,GARDER/T.IRON,64344,41.13,BAKED BRICKS/BLOCKS/STONES,2653,1.7,556
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,OVER 50 YEARS,GARDER/T.IRON,64344,41.13,UNBAKED BRICKS/MUD,483,0.31,32
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,OVER 50 YEARS,GARDER/T.IRON,64344,41.13,WOOD/BAMBOO,23,0.01,1
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,OVER 50 YEARS,GARDER/T.IRON,64344,41.13,OTHERS,50,0.03,6
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,WOOD/BAMBOO,45223,28.91,BAKED BRICKS/BLOCKS/STONES,1835,1.17,306
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,WOOD/BAMBOO,45223,28.91,UNBAKED BRICKS/MUD,182,0.12,71
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,WOOD/BAMBOO,45223,28.91,WOOD/BAMBOO,22,0.01,15
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,WOOD/BAMBOO,45223,28.91,OTHERS,52,0.03,9
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,WOOD/BAMBOO,45223,28.91,BAKED BRICKS/BLOCKS/STONES,24451,15.63,2869
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,WOOD/BAMBOO,45223,28.91,UNBAKED BRICKS/MUD,1080,0.69,592
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,WOOD/BAMBOO,45223,28.91,WOOD/BAMBOO,112,0.07,72
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,WOOD/BAMBOO,45223,28.91,OTHERS,475,0.3,34
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5 - 10 YEARS,WOOD/BAMBOO,45223,28.91,BAKED BRICKS/BLOCKS/STONES,43447,27.77,7931
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5 - 10 YEARS,WOOD/BAMBOO,45223,28.91,UNBAKED BRICKS/MUD,1621,1.04,1026
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5 - 10 YEARS,WOOD/BAMBOO,45223,28.91,WOOD/BAMBOO,177,0.11,110
PUNJAB,049,HAFIZABAD DISTRICT,HAFIZABAD DISTRICT,TOTAL,5 - 10 YEARS,WOOD/BAMBOO,45223,28.91,OTHERS,392,0.25,27
