province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,utility,source,total_by_source,percent_by_source,count
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,LESS THAN 5 YEARS,146341,12.63,COOKING FUEL,OTHERS,48163,4.16,16527
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,LESS THAN 5 YEARS,146341,12.63,LIGHTING SOURCE,ELECTRICITY,1149278,99.19,143752
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,LESS THAN 5 YEARS,146341,12.63,LIGHTING SOURCE,KEROSENE OIL,5122,0.44,1029
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,LESS THAN 5 YEARS,146341,12.63,LIGHTING SOURCE,GAS LAMP,511,0.04,75
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,LESS THAN 5 YEARS,146341,12.63,LIGHTING SOURCE,OTHERS,3703,0.32,1485
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,5-10 YEARS,250656,21.63,INSIDE WATER,TAP,665991,57.48,116241
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,5-10 YEARS,250656,21.63,INSIDE WATER,ELECTRIC/HAND PUMP,371004,32.02,109704
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,5-10 YEARS,250656,21.63,INSIDE WATER,PROTECTED WELL,1383,0.12,527
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,5-10 YEARS,250656,21.63,INSIDE WATER,UN-PROTECTED WELL,1341,0.12,178
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,5-10 YEARS,250656,21.63,INSIDE WATER,OTHERS,28861,2.49,5544
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,5-10 YEARS,250656,21.63,OUTSIDE WATER,TAP,25820,2.23,5722
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,5-10 YEARS,250656,21.63,OUTSIDE WATER,ELECTRIC/HAND PUMP,13642,1.18,2905
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,5-10 YEARS,250656,21.63,OUTSIDE WATER,PROTECTED WELL,175,0.02,31
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,5-10 YEARS,250656,21.63,OUTSIDE WATER,UN-PROTECTED WELL,82,0.01,17
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,5-10 YEARS,250656,21.63,OUTSIDE WATER,SPRING,154,0.01,22
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,5-10 YEARS,250656,21.63,OUTSIDE WATER,CANAL/RIVER/POND,290,0.03,183
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,5-10 YEARS,250656,21.63,OUTSIDE WATER,OTHERS,49871,4.3,9582
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,5-10 YEARS,250656,21.63,COOKING FUEL,WOOD,130416,11.26,39807
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,5-10 YEARS,250656,21.63,COOKING FUEL,GAS,978707,84.47,196536
PUNJAB,053,LAHORE DISTRICT,LAHORE DISTRICT,TOTAL,5-10 YEARS,250656,21.63,COOKING FUEL,KEROSENE OIL,1328,0.11,407
