province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,UNDER CONSTRUCTION,1,935,2.43,6647,17.28,92
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,LESS THAN 5 YEARS,1,4584,11.91,6647,17.28,1012
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,5-10 YEARS,1,11469,29.81,6647,17.28,2019
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,11-50 YEARS,1,16974,44.11,6647,17.28,2677
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,OVER 50 YEARS,1,4515,11.73,6647,17.28,847
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,UNDER CONSTRUCTION,2,935,2.43,11685,30.37,212
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,LESS THAN 5 YEARS,2,4584,11.91,11685,30.37,1104
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,5-10 YEARS,2,11469,29.81,11685,30.37,3264
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,11-50 YEARS,2,16974,44.11,11685,30.37,5888
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,OVER 50 YEARS,2,4515,11.73,11685,30.37,1217
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,UNDER CONSTRUCTION,3,935,2.43,8642,22.46,289
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,LESS THAN 5 YEARS,3,4584,11.91,8642,22.46,852
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,5-10 YEARS,3,11469,29.81,8642,22.46,2392
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,11-50 YEARS,3,16974,44.11,8642,22.46,4025
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,OVER 50 YEARS,3,4515,11.73,8642,22.46,1084
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,UNDER CONSTRUCTION,4,935,2.43,4742,12.32,177
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,LESS THAN 5 YEARS,4,4584,11.91,4742,12.32,549
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,5-10 YEARS,4,11469,29.81,4742,12.32,1408
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,11-50 YEARS,4,16974,44.11,4742,12.32,2039
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,OVER 50 YEARS,4,4515,11.73,4742,12.32,569
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,UNDER CONSTRUCTION,5,935,2.43,2461,6.4,54
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,LESS THAN 5 YEARS,5,4584,11.91,2461,6.4,386
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,5-10 YEARS,5,11469,29.81,2461,6.4,823
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,11-50 YEARS,5,16974,44.11,2461,6.4,901
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,OVER 50 YEARS,5,4515,11.73,2461,6.4,297
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,UNDER CONSTRUCTION,6,935,2.43,1532,3.98,58
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,LESS THAN 5 YEARS,6,4584,11.91,1532,3.98,274
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,5-10 YEARS,6,11469,29.81,1532,3.98,594
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,11-50 YEARS,6,16974,44.11,1532,3.98,482
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,OVER 50 YEARS,6,4515,11.73,1532,3.98,124
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,UNDER CONSTRUCTION,7,935,2.43,921,2.39,25
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,LESS THAN 5 YEARS,7,4584,11.91,921,2.39,149
BALOCHISTAN,134,ZHOB DISTRICT,ZHOB DISTRICT,TOTAL,5-10 YEARS,7,11469,29.81,921,2.39,311
