province_name,district_code,district_name,area_name,area_type,gender_type,total_by_gender,percent_by_gender,housing_type,total_by_housing_type,percent_by_housing_type,count
BALOCHISTAN,120,KILLA ABDULLAH DISTRICT,KILLA ABDULLAH DISTRICT,URBAN,ALL SEXES,149330,100,INSTITUTIONAL,362,1.87,5318
BALOCHISTAN,120,KILLA ABDULLAH DISTRICT,KILLA ABDULLAH DISTRICT,URBAN,ALL SEXES,149330,100,HOMELESS,2,0.01,2
BALOCHISTAN,120,KILLA ABDULLAH DISTRICT,KILLA ABDULLAH DISTRICT,URBAN,ALL SEXES,149330,100,TOTAL,19388,100,149330
BALOCHISTAN,120,KILLA ABDULLAH DISTRICT,KILLA ABDULLAH DISTRICT,URBAN,MALE,78982,52.89,REGULAR,19024,98.12,75851
BALOCHISTAN,120,KILLA ABDULLAH DISTRICT,KILLA ABDULLAH DISTRICT,URBAN,MALE,78982,52.89,INSTITUTIONAL,362,1.87,3129
BALOCHISTAN,120,KILLA ABDULLAH DISTRICT,KILLA ABDULLAH DISTRICT,URBAN,MALE,78982,52.89,HOMELESS,2,0.01,2
BALOCHISTAN,120,KILLA ABDULLAH DISTRICT,KILLA ABDULLAH DISTRICT,URBAN,MALE,78982,52.89,TOTAL,19388,100,78982
BALOCHISTAN,120,KILLA ABDULLAH DISTRICT,KILLA ABDULLAH DISTRICT,URBAN,FEMALE,70347,47.11,REGULAR,19024,98.12,68158
BALOCHISTAN,120,KILLA ABDULLAH DISTRICT,KILLA ABDULLAH DISTRICT,URBAN,FEMALE,70347,47.11,INSTITUTIONAL,362,1.87,2189
BALOCHISTAN,120,KILLA ABDULLAH DISTRICT,KILLA ABDULLAH DISTRICT,URBAN,FEMALE,70347,47.11,HOMELESS,2,0.01,0
BALOCHISTAN,120,KILLA ABDULLAH DISTRICT,KILLA ABDULLAH DISTRICT,URBAN,FEMALE,70347,47.11,TOTAL,19388,100,70347
BALOCHISTAN,120,KILLA ABDULLAH DISTRICT,KILLA ABDULLAH DISTRICT,URBAN,TRANSGENDER,1,0,REGULAR,19024,98.12,1
