province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,7 PERSONS,4,39297,10.59,1.61,9562,2.58,7.36,1152
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,8 PERSONS,4,29430,7.93,1.66,9562,2.58,7.36,899
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,9 PERSONS,4,19859,5.35,1.73,9562,2.58,7.36,718
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,10 PERSONS AND ABOVE,4,30385,8.19,2.12,9562,2.58,7.36,2218
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,1 PERSON,5,9816,2.64,1.31,3030,0.82,7.76,49
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,2 PERSONS,5,46650,12.57,1.3,3030,0.82,7.76,223
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,3 PERSONS,5,46441,12.51,1.35,3030,0.82,7.76,250
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,4 PERSONS,5,50669,13.65,1.42,3030,0.82,7.76,244
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,5 PERSONS,5,50815,13.69,1.49,3030,0.82,7.76,319
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,6 PERSONS,5,47776,12.87,1.55,3030,0.82,7.76,357
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,7 PERSONS,5,39297,10.59,1.61,3030,0.82,7.76,346
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,8 PERSONS,5,29430,7.93,1.66,3030,0.82,7.76,257
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,9 PERSONS,5,19859,5.35,1.73,3030,0.82,7.76,200
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,10 PERSONS AND ABOVE,5,30385,8.19,2.12,3030,0.82,7.76,785
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,1 PERSON,6,9816,2.64,1.31,1521,0.41,8.29,27
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,2 PERSONS,6,46650,12.57,1.3,1521,0.41,8.29,72
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,3 PERSONS,6,46441,12.51,1.35,1521,0.41,8.29,93
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,4 PERSONS,6,50669,13.65,1.42,1521,0.41,8.29,100
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,5 PERSONS,6,50815,13.69,1.49,1521,0.41,8.29,157
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,6 PERSONS,6,47776,12.87,1.55,1521,0.41,8.29,189
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,7 PERSONS,6,39297,10.59,1.61,1521,0.41,8.29,154
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,8 PERSONS,6,29430,7.93,1.66,1521,0.41,8.29,157
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,9 PERSONS,6,19859,5.35,1.73,1521,0.41,8.29,119
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,10 PERSONS AND ABOVE,6,30385,8.19,2.12,1521,0.41,8.29,453
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,1 PERSON,7,9816,2.64,1.31,2311,0.62,6.21,63
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,2 PERSONS,7,46650,12.57,1.3,2311,0.62,6.21,237
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,3 PERSONS,7,46441,12.51,1.35,2311,0.62,6.21,270
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,4 PERSONS,7,50669,13.65,1.42,2311,0.62,6.21,287
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,5 PERSONS,7,50815,13.69,1.49,2311,0.62,6.21,286
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,6 PERSONS,7,47776,12.87,1.55,2311,0.62,6.21,270
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,7 PERSONS,7,39297,10.59,1.61,2311,0.62,6.21,256
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,8 PERSONS,7,29430,7.93,1.66,2311,0.62,6.21,193
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,9 PERSONS,7,19859,5.35,1.73,2311,0.62,6.21,130
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,10 PERSONS AND ABOVE,7,30385,8.19,2.12,2311,0.62,6.21,319
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,1 PERSON,8,9816,2.64,1.31,427,0.12,8,8
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,2 PERSONS,8,46650,12.57,1.3,427,0.12,8,47
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,3 PERSONS,8,46441,12.51,1.35,427,0.12,8,35
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,4 PERSONS,8,50669,13.65,1.42,427,0.12,8,40
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,5 PERSONS,8,50815,13.69,1.49,427,0.12,8,36
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,6 PERSONS,8,47776,12.87,1.55,427,0.12,8,39
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,7 PERSONS,8,39297,10.59,1.61,427,0.12,8,34
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,8 PERSONS,8,29430,7.93,1.66,427,0.12,8,38
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,9 PERSONS,8,19859,5.35,1.73,427,0.12,8,31
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,10 PERSONS AND ABOVE,8,30385,8.19,2.12,427,0.12,8,119
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,1 PERSON,9 AND MORE,9816,2.64,1.31,994,0.27,6.5,32
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,2 PERSONS,9 AND MORE,46650,12.57,1.3,994,0.27,6.5,120
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,3 PERSONS,9 AND MORE,46441,12.51,1.35,994,0.27,6.5,107
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,4 PERSONS,9 AND MORE,50669,13.65,1.42,994,0.27,6.5,141
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,5 PERSONS,9 AND MORE,50815,13.69,1.49,994,0.27,6.5,116
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,6 PERSONS,9 AND MORE,47776,12.87,1.55,994,0.27,6.5,112
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,7 PERSONS,9 AND MORE,39297,10.59,1.61,994,0.27,6.5,89
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,8 PERSONS,9 AND MORE,29430,7.93,1.66,994,0.27,6.5,86
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,9 PERSONS,9 AND MORE,19859,5.35,1.73,994,0.27,6.5,43
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,TOTAL,10 PERSONS AND ABOVE,9 AND MORE,30385,8.19,2.12,994,0.27,6.5,148
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,1 PERSON,1,7433,2.74,1.24,199842,73.6,4.99,6454
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,2 PERSONS,1,36398,13.4,1.24,199842,73.6,4.99,31030
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,3 PERSONS,1,34635,12.76,1.28,199842,73.6,4.99,28670
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,4 PERSONS,1,36744,13.53,1.33,199842,73.6,4.99,29066
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,5 PERSONS,1,36168,13.32,1.36,199842,73.6,4.99,27489
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,6 PERSONS,1,34057,12.54,1.43,199842,73.6,4.99,24486
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,7 PERSONS,1,28511,10.5,1.49,199842,73.6,4.99,19340
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,8 PERSONS,1,21604,7.96,1.54,199842,73.6,4.99,14035
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,9 PERSONS,1,14803,5.45,1.6,199842,73.6,4.99,9016
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,10 PERSONS AND ABOVE,1,21176,7.8,1.91,199842,73.6,4.99,10256
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,1 PERSON,2,7433,2.74,1.24,49867,18.37,6.33,640
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,2 PERSONS,2,36398,13.4,1.24,49867,18.37,6.33,3812
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,3 PERSONS,2,34635,12.76,1.28,49867,18.37,6.33,4242
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,4 PERSONS,2,36744,13.53,1.33,49867,18.37,6.33,5451
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,5 PERSONS,2,36168,13.32,1.36,49867,18.37,6.33,6290
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,6 PERSONS,2,34057,12.54,1.43,49867,18.37,6.33,6936
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,7 PERSONS,2,28511,10.5,1.49,49867,18.37,6.33,6553
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,8 PERSONS,2,21604,7.96,1.54,49867,18.37,6.33,5402
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,9 PERSONS,2,14803,5.45,1.6,49867,18.37,6.33,4065
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,10 PERSONS AND ABOVE,2,21176,7.8,1.91,49867,18.37,6.33,6476
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,1 PERSON,3,7433,2.74,1.24,12529,4.61,6.89,170
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,2 PERSONS,3,36398,13.4,1.24,12529,4.61,6.89,844
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,3 PERSONS,3,34635,12.76,1.28,12529,4.61,6.89,992
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,4 PERSONS,3,36744,13.53,1.33,12529,4.61,6.89,1296
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,5 PERSONS,3,36168,13.32,1.36,12529,4.61,6.89,1420
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,6 PERSONS,3,34057,12.54,1.43,12529,4.61,6.89,1513
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,7 PERSONS,3,28511,10.5,1.49,12529,4.61,6.89,1532
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,8 PERSONS,3,21604,7.96,1.54,12529,4.61,6.89,1261
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,9 PERSONS,3,14803,5.45,1.6,12529,4.61,6.89,1029
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,10 PERSONS AND ABOVE,3,21176,7.8,1.91,12529,4.61,6.89,2472
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,1 PERSON,4,7433,2.74,1.24,4886,1.8,7.39,60
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,2 PERSONS,4,36398,13.4,1.24,4886,1.8,7.39,307
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,3 PERSONS,4,34635,12.76,1.28,4886,1.8,7.39,300
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,4 PERSONS,4,36744,13.53,1.33,4886,1.8,7.39,460
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,5 PERSONS,4,36168,13.32,1.36,4886,1.8,7.39,533
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,6 PERSONS,4,34057,12.54,1.43,4886,1.8,7.39,602
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,7 PERSONS,4,28511,10.5,1.49,4886,1.8,7.39,610
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,8 PERSONS,4,21604,7.96,1.54,4886,1.8,7.39,495
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,9 PERSONS,4,14803,5.45,1.6,4886,1.8,7.39,400
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,10 PERSONS AND ABOVE,4,21176,7.8,1.91,4886,1.8,7.39,1119
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,1 PERSON,5,7433,2.74,1.24,1356,0.5,7.79,23
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,2 PERSONS,5,36398,13.4,1.24,1356,0.5,7.79,113
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,3 PERSONS,5,34635,12.76,1.28,1356,0.5,7.79,116
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,4 PERSONS,5,36744,13.53,1.33,1356,0.5,7.79,119
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,5 PERSONS,5,36168,13.32,1.36,1356,0.5,7.79,116
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,6 PERSONS,5,34057,12.54,1.43,1356,0.5,7.79,176
SINDH,101,SANGHAR DISTRICT,SANGHAR DISTRICT,RURAL,7 PERSONS,5,28511,10.5,1.49,1356,0.5,7.79,145
