province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,utility,source,total_by_source,percent_by_source,count
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,UNDER CONSTRUCTION,2245,2.16,INSIDE WATER,TAP,22358,21.46,808
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,UNDER CONSTRUCTION,2245,2.16,INSIDE WATER,ELECTRIC/HAND PUMP,10182,9.77,315
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,UNDER CONSTRUCTION,2245,2.16,INSIDE WATER,PROTECTED WELL,22359,21.46,440
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,UNDER CONSTRUCTION,2245,2.16,INSIDE WATER,UN-PROTECTED WELL,4658,4.47,111
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,UNDER CONSTRUCTION,2245,2.16,INSIDE WATER,OTHERS,10036,9.63,170
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,UNDER CONSTRUCTION,2245,2.16,OUTSIDE WATER,TAP,4255,4.08,69
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,UNDER CONSTRUCTION,2245,2.16,OUTSIDE WATER,ELECTRIC/HAND PUMP,3011,2.89,26
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,UNDER CONSTRUCTION,2245,2.16,OUTSIDE WATER,PROTECTED WELL,8097,7.77,86
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,UNDER CONSTRUCTION,2245,2.16,OUTSIDE WATER,UN-PROTECTED WELL,2540,2.44,25
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,UNDER CONSTRUCTION,2245,2.16,OUTSIDE WATER,SPRING,11506,11.05,109
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,UNDER CONSTRUCTION,2245,2.16,OUTSIDE WATER,CANAL/RIVER/POND,328,0.31,3
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,UNDER CONSTRUCTION,2245,2.16,OUTSIDE WATER,OTHERS,4839,4.65,83
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,UNDER CONSTRUCTION,2245,2.16,COOKING FUEL,WOOD,100178,96.17,2076
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,UNDER CONSTRUCTION,2245,2.16,COOKING FUEL,GAS,578,0.55,75
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,UNDER CONSTRUCTION,2245,2.16,COOKING FUEL,KEROSENE OIL,208,0.2,40
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,UNDER CONSTRUCTION,2245,2.16,COOKING FUEL,OTHERS,3205,3.08,54
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,UNDER CONSTRUCTION,2245,2.16,LIGHTING SOURCE,ELECTRICITY,35657,34.23,1182
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,UNDER CONSTRUCTION,2245,2.16,LIGHTING SOURCE,KEROSENE OIL,1314,1.26,110
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,UNDER CONSTRUCTION,2245,2.16,LIGHTING SOURCE,GAS LAMP,320,0.31,26
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,UNDER CONSTRUCTION,2245,2.16,LIGHTING SOURCE,OTHERS,66878,64.2,927
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,LESS THAN 5 YEARS,8309,7.98,INSIDE WATER,TAP,22358,21.46,1754
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,LESS THAN 5 YEARS,8309,7.98,INSIDE WATER,ELECTRIC/HAND PUMP,10182,9.77,1311
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,LESS THAN 5 YEARS,8309,7.98,INSIDE WATER,PROTECTED WELL,22359,21.46,1944
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,LESS THAN 5 YEARS,8309,7.98,INSIDE WATER,UN-PROTECTED WELL,4658,4.47,258
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,LESS THAN 5 YEARS,8309,7.98,INSIDE WATER,OTHERS,10036,9.63,744
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,LESS THAN 5 YEARS,8309,7.98,OUTSIDE WATER,TAP,4255,4.08,278
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,LESS THAN 5 YEARS,8309,7.98,OUTSIDE WATER,ELECTRIC/HAND PUMP,3011,2.89,306
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,LESS THAN 5 YEARS,8309,7.98,OUTSIDE WATER,PROTECTED WELL,8097,7.77,585
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,LESS THAN 5 YEARS,8309,7.98,OUTSIDE WATER,UN-PROTECTED WELL,2540,2.44,172
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,LESS THAN 5 YEARS,8309,7.98,OUTSIDE WATER,SPRING,11506,11.05,545
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,LESS THAN 5 YEARS,8309,7.98,OUTSIDE WATER,CANAL/RIVER/POND,328,0.31,30
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,LESS THAN 5 YEARS,8309,7.98,OUTSIDE WATER,OTHERS,4839,4.65,382
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,LESS THAN 5 YEARS,8309,7.98,COOKING FUEL,WOOD,100178,96.17,7943
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,LESS THAN 5 YEARS,8309,7.98,COOKING FUEL,GAS,578,0.55,94
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,LESS THAN 5 YEARS,8309,7.98,COOKING FUEL,KEROSENE OIL,208,0.2,15
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,LESS THAN 5 YEARS,8309,7.98,COOKING FUEL,OTHERS,3205,3.08,257
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,LESS THAN 5 YEARS,8309,7.98,LIGHTING SOURCE,ELECTRICITY,35657,34.23,3145
