province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,9 PERSONS,4,11751,9.67,3.15,19415,15.98,10.19,2228
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,10 PERSONS AND ABOVE,4,42635,35.09,4.22,19415,15.98,10.19,9968
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,1 PERSON,5,639,0.53,2.67,9396,7.73,11.96,44
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,2 PERSONS,5,4245,3.49,1.95,9396,7.73,11.96,81
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,3 PERSONS,5,5712,4.7,2.04,9396,7.73,11.96,118
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,4 PERSONS,5,7657,6.3,2.13,9396,7.73,11.96,166
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,5 PERSONS,5,9779,8.05,2.32,9396,7.73,11.96,289
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,6 PERSONS,5,12099,9.96,2.49,9396,7.73,11.96,409
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,7 PERSONS,5,13603,11.2,2.65,9396,7.73,11.96,584
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,8 PERSONS,5,13367,11,2.89,9396,7.73,11.96,750
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,9 PERSONS,5,11751,9.67,3.15,9396,7.73,11.96,852
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,10 PERSONS AND ABOVE,5,42635,35.09,4.22,9396,7.73,11.96,6103
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,1 PERSON,6,639,0.53,2.67,5842,4.81,13.41,19
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,2 PERSONS,6,4245,3.49,1.95,5842,4.81,13.41,61
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,3 PERSONS,6,5712,4.7,2.04,5842,4.81,13.41,59
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,4 PERSONS,6,7657,6.3,2.13,5842,4.81,13.41,87
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,5 PERSONS,6,9779,8.05,2.32,5842,4.81,13.41,125
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,6 PERSONS,6,12099,9.96,2.49,5842,4.81,13.41,201
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,7 PERSONS,6,13603,11.2,2.65,5842,4.81,13.41,258
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,8 PERSONS,6,13367,11,2.89,5842,4.81,13.41,363
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,9 PERSONS,6,11751,9.67,3.15,5842,4.81,13.41,437
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,10 PERSONS AND ABOVE,6,42635,35.09,4.22,5842,4.81,13.41,4232
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,1 PERSON,7,639,0.53,2.67,2671,2.2,14.16,14
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,2 PERSONS,7,4245,3.49,1.95,2671,2.2,14.16,33
FATA,032,BAJAUR AGENCY,BAJAUR AGENCY,TOTAL,3 PERSONS,7,5712,4.7,2.04,2671,2.2,14.16,35
