province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,housing_component,housing_material,total_by_material,percent_by_material,count
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,11-50 YEARS,222513,50.48,WALL,UNBAKED BRICKS/MUD,13287,3.01,5878
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,11-50 YEARS,222513,50.48,WALL,WOOD/BAMBOO,2653,0.6,973
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,11-50 YEARS,222513,50.48,WALL,OTHERS,5096,1.16,2339
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,11-50 YEARS,222513,50.48,ROOF,RCC/RBC,187018,42.42,87579
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,11-50 YEARS,222513,50.48,ROOF,CEMENT/IRON SHEETS,25737,5.84,11953
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,11-50 YEARS,222513,50.48,ROOF,GARDER/T.IRON,132271,30,64758
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,11-50 YEARS,222513,50.48,ROOF,WOOD/BAMBOO,88816,20.15,54874
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,11-50 YEARS,222513,50.48,ROOF,OTHERS,6990,1.59,3349
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,OVER 50 YEARS,5378,1.22,WALL,BAKED BRICKS/BLOCKS/STONES,419796,95.23,4929
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA DISTRICT,TOTAL,OVER 50 YEARS,5378,1.22,WALL,UNBAKED BRICKS/MUD,13287,3.01,334
