province_name,district_code,district_name,area_name,locality_name,locality_bucket,pop_98,avg_annual_growth_98_17,avg_hh_size,gender,total_population
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA TEHSIL,SHEIKHUPURA MC,"200,000 - 499,999",280263,2.79,6.41,ALL SEXES,473269
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA TEHSIL,SHEIKHUPURA MC,"200,000 - 499,999",280263,2.79,6.41,MALE,243886
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA TEHSIL,SHEIKHUPURA MC,"200,000 - 499,999",280263,2.79,6.41,FEMALE,229316
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA TEHSIL,SHEIKHUPURA MC,"200,000 - 499,999",280263,2.79,6.41,TRANSGENDER,67
PUNJAB,056,SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,MURIDKE MC,"100,000 - 199,999",111951,2.13,6.69,ALL SEXES,167082
PUNJAB,056,SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,MURIDKE MC,"100,000 - 199,999",111951,2.13,6.69,MALE,85457
PUNJAB,056,SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,MURIDKE MC,"100,000 - 199,999",111951,2.13,6.69,FEMALE,81614
PUNJAB,056,SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,MURIDKE MC,"100,000 - 199,999",111951,2.13,6.69,TRANSGENDER,11
PUNJAB,056,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,KOT ABDUL MALIK MC,"100,000 - 199,999",63525,4.36,6.67,ALL SEXES,143099
PUNJAB,056,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,KOT ABDUL MALIK MC,"100,000 - 199,999",63525,4.36,6.67,MALE,74674
PUNJAB,056,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,KOT ABDUL MALIK MC,"100,000 - 199,999",63525,4.36,6.67,FEMALE,68404
PUNJAB,056,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,KOT ABDUL MALIK MC,"100,000 - 199,999",63525,4.36,6.67,TRANSGENDER,21
PUNJAB,056,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,FEROZEWALA MC,"100,000 - 199,999",55433,5.03,6.6,ALL SEXES,141181
PUNJAB,056,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,FEROZEWALA MC,"100,000 - 199,999",55433,5.03,6.6,MALE,72661
PUNJAB,056,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,FEROZEWALA MC,"100,000 - 199,999",55433,5.03,6.6,FEMALE,68493
PUNJAB,056,SHEIKHUPURA DISTRICT,FEROZEWALA TEHSIL,FEROZEWALA MC,"100,000 - 199,999",55433,5.03,6.6,TRANSGENDER,27
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA TEHSIL,FAROOQABAD MC,"50,000 - 99,999",59015,1.45,6.52,ALL SEXES,77591
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA TEHSIL,FAROOQABAD MC,"50,000 - 99,999",59015,1.45,6.52,MALE,39295
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA TEHSIL,FAROOQABAD MC,"50,000 - 99,999",59015,1.45,6.52,FEMALE,38285
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA TEHSIL,FAROOQABAD MC,"50,000 - 99,999",59015,1.45,6.52,TRANSGENDER,11
PUNJAB,056,SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,NARANG MANDI MC,"25,000 - 49,999",31345,2.01,6.33,ALL SEXES,45770
PUNJAB,056,SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,NARANG MANDI MC,"25,000 - 49,999",31345,2.01,6.33,MALE,23246
PUNJAB,056,SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,NARANG MANDI MC,"25,000 - 49,999",31345,2.01,6.33,FEMALE,22523
PUNJAB,056,SHEIKHUPURA DISTRICT,MURIDKE TEHSIL,NARANG MANDI MC,"25,000 - 49,999",31345,2.01,6.33,TRANSGENDER,1
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA TEHSIL,MANANWALA JODH SINGH MC,"25,000 - 49,999",25564,3.1,6.29,ALL SEXES,45740
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA TEHSIL,MANANWALA JODH SINGH MC,"25,000 - 49,999",25564,3.1,6.29,MALE,23192
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA TEHSIL,MANANWALA JODH SINGH MC,"25,000 - 49,999",25564,3.1,6.29,FEMALE,22532
PUNJAB,056,SHEIKHUPURA DISTRICT,SHEIKHUPURA TEHSIL,MANANWALA JODH SINGH MC,"25,000 - 49,999",25564,3.1,6.29,TRANSGENDER,16
