province_name,district_code,district_name,area_name,area_type,gender,age_group,total_population,literacy_ratio,literacy_status,count
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,775996,47.53,ILLITERATE,407200
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,10 - 14,150572,63.36,ILLITERATE,55177
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,15 - 19,119836,59.52,ILLITERATE,48510
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,20 - 24,100512,50.47,ILLITERATE,49786
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,25 - 29,89833,46.36,ILLITERATE,48188
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,30 - 34,66731,44.43,ILLITERATE,37081
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,35 - 39,50402,41.82,ILLITERATE,29322
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,40 - 44,46311,36.15,ILLITERATE,29568
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,45 - 49,35909,31.31,ILLITERATE,24666
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,50 - 54,33268,28.66,ILLITERATE,23732
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,55 - 59,25617,29.42,ILLITERATE,18080
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,60 - 64,23243,26.03,ILLITERATE,17194
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,65 - 69,13750,25.41,ILLITERATE,10256
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,70 - 74,9065,23.71,ILLITERATE,6916
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,10947,20.31,ILLITERATE,8724
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,775996,47.53,TOTAL LITERATE,368796
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,10 - 14,150572,63.36,TOTAL LITERATE,95395
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,15 - 19,119836,59.52,TOTAL LITERATE,71326
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,20 - 24,100512,50.47,TOTAL LITERATE,50726
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,25 - 29,89833,46.36,TOTAL LITERATE,41645
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,30 - 34,66731,44.43,TOTAL LITERATE,29650
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,35 - 39,50402,41.82,TOTAL LITERATE,21080
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,40 - 44,46311,36.15,TOTAL LITERATE,16743
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,45 - 49,35909,31.31,TOTAL LITERATE,11243
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,50 - 54,33268,28.66,TOTAL LITERATE,9536
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,55 - 59,25617,29.42,TOTAL LITERATE,7537
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,60 - 64,23243,26.03,TOTAL LITERATE,6049
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,65 - 69,13750,25.41,TOTAL LITERATE,3494
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,ALL SEXES,70 - 74,9065,23.71,TOTAL LITERATE,2149
