province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,facility,source,total_by_facility,percent_by_facility,count
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,5-10 YEARS,26521,25.77,LATRINE,SEPTIC TANK,23116,22.46,5686
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,5-10 YEARS,26521,25.77,LATRINE,OPEN DRAIN,7944,7.72,1862
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,5-10 YEARS,26521,25.77,LATRINE,PIT WITH SLAB,21006,20.41,5721
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,5-10 YEARS,26521,25.77,LATRINE,OTHER,13690,13.3,3833
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,5-10 YEARS,26521,25.77,LATRINE,NONE,21016,20.42,4392
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,11-50 YEARS,58759,57.09,KITCHEN,SEPARATE,58015,56.37,32553
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,11-50 YEARS,58759,57.09,KITCHEN,SHARED,31166,30.28,17979
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,11-50 YEARS,58759,57.09,KITCHEN,NONE,13746,13.36,8227
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,11-50 YEARS,58759,57.09,BATH,SEPARATE,65472,63.61,37046
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,11-50 YEARS,58759,57.09,BATH,SHARED,30484,29.62,17675
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,11-50 YEARS,58759,57.09,BATH,NONE,6971,6.77,4038
KHYBER PAKTUNKHWA,001,BANNU DISTRICT,BANNU DISTRICT,TOTAL,11-50 YEARS,58759,57.09,LATRINE,SEWER,16155,15.7,8059
