province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
PUNJAB,058,CHINIOT DISTRICT,CHINIOT DISTRICT,TOTAL,UNDER CONSTRUCTION,1,1817,0.98,51855,28,554
PUNJAB,058,CHINIOT DISTRICT,CHINIOT DISTRICT,TOTAL,LESS THAN 5 YEARS,1,28128,15.19,51855,28,8842
PUNJAB,058,CHINIOT DISTRICT,CHINIOT DISTRICT,TOTAL,5-10 YEARS,1,52189,28.18,51855,28,14609
PUNJAB,058,CHINIOT DISTRICT,CHINIOT DISTRICT,TOTAL,11-50 YEARS,1,98557,53.22,51855,28,26757
PUNJAB,058,CHINIOT DISTRICT,CHINIOT DISTRICT,TOTAL,OVER 50 YEARS,1,4493,2.43,51855,28,1093
PUNJAB,058,CHINIOT DISTRICT,CHINIOT DISTRICT,TOTAL,UNDER CONSTRUCTION,2,1817,0.98,64730,34.95,641
PUNJAB,058,CHINIOT DISTRICT,CHINIOT DISTRICT,TOTAL,LESS THAN 5 YEARS,2,28128,15.19,64730,34.95,9977
PUNJAB,058,CHINIOT DISTRICT,CHINIOT DISTRICT,TOTAL,5-10 YEARS,2,52189,28.18,64730,34.95,19114
PUNJAB,058,CHINIOT DISTRICT,CHINIOT DISTRICT,TOTAL,11-50 YEARS,2,98557,53.22,64730,34.95,33607
PUNJAB,058,CHINIOT DISTRICT,CHINIOT DISTRICT,TOTAL,OVER 50 YEARS,2,4493,2.43,64730,34.95,1391
PUNJAB,058,CHINIOT DISTRICT,CHINIOT DISTRICT,TOTAL,UNDER CONSTRUCTION,3,1817,0.98,35116,18.96,319
PUNJAB,058,CHINIOT DISTRICT,CHINIOT DISTRICT,TOTAL,LESS THAN 5 YEARS,3,28128,15.19,35116,18.96,5055
PUNJAB,058,CHINIOT DISTRICT,CHINIOT DISTRICT,TOTAL,5-10 YEARS,3,52189,28.18,35116,18.96,9780
PUNJAB,058,CHINIOT DISTRICT,CHINIOT DISTRICT,TOTAL,11-50 YEARS,3,98557,53.22,35116,18.96,19114
PUNJAB,058,CHINIOT DISTRICT,CHINIOT DISTRICT,TOTAL,OVER 50 YEARS,3,4493,2.43,35116,18.96,848
PUNJAB,058,CHINIOT DISTRICT,CHINIOT DISTRICT,TOTAL,UNDER CONSTRUCTION,4,1817,0.98,17971,9.7,161
PUNJAB,058,CHINIOT DISTRICT,CHINIOT DISTRICT,TOTAL,LESS THAN 5 YEARS,4,28128,15.19,17971,9.7,2346
PUNJAB,058,CHINIOT DISTRICT,CHINIOT DISTRICT,TOTAL,5-10 YEARS,4,52189,28.18,17971,9.7,4759
