province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,housing_component,housing_material,total_by_material,percent_by_material,count
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,OWNED,19995,98.46,WALL,BAKED BRICKS/BLOCKS/STONES,13487,66.42,13311
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,OWNED,19995,98.46,WALL,UNBAKED BRICKS/MUD,4024,19.82,3913
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,OWNED,19995,98.46,WALL,WOOD/BAMBOO,1870,9.21,1857
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,OWNED,19995,98.46,WALL,OTHERS,926,4.56,914
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,OWNED,19995,98.46,ROOF,RCC/RBC,158,0.78,153
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,OWNED,19995,98.46,ROOF,CEMENT/IRON SHEETS,161,0.79,159
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,OWNED,19995,98.46,ROOF,GARDER/T.IRON,2101,10.35,2040
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,OWNED,19995,98.46,ROOF,WOOD/BAMBOO,16702,82.25,16476
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,OWNED,19995,98.46,ROOF,OTHERS,1185,5.84,1167
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,RENTED,106,0.52,WALL,BAKED BRICKS/BLOCKS/STONES,13487,66.42,50
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,RENTED,106,0.52,WALL,UNBAKED BRICKS/MUD,4024,19.82,42
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,RENTED,106,0.52,WALL,WOOD/BAMBOO,1870,9.21,9
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,RENTED,106,0.52,WALL,OTHERS,926,4.56,5
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,RENTED,106,0.52,ROOF,RCC/RBC,158,0.78,3
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,RENTED,106,0.52,ROOF,CEMENT/IRON SHEETS,161,0.79,1
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,RENTED,106,0.52,ROOF,GARDER/T.IRON,2101,10.35,39
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,RENTED,106,0.52,ROOF,WOOD/BAMBOO,16702,82.25,56
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,RENTED,106,0.52,ROOF,OTHERS,1185,5.84,7
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,RENT FREE,206,1.01,WALL,BAKED BRICKS/BLOCKS/STONES,13487,66.42,126
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,RENT FREE,206,1.01,WALL,UNBAKED BRICKS/MUD,4024,19.82,69
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,RENT FREE,206,1.01,WALL,WOOD/BAMBOO,1870,9.21,4
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,RENT FREE,206,1.01,WALL,OTHERS,926,4.56,7
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,RENT FREE,206,1.01,ROOF,RCC/RBC,158,0.78,2
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,RENT FREE,206,1.01,ROOF,CEMENT/IRON SHEETS,161,0.79,1
BALOCHISTAN,133,SHERANI DISTRICT,SHERANI DISTRICT,TOTAL,RENT FREE,206,1.01,ROOF,GARDER/T.IRON,2101,10.35,22
