province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,housing_component,housing_material,total_by_material,percent_by_material,count
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,11-50 YEARS,216603,46.85,ROOF,GARDER/T.IRON,268286,58.03,123285
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,11-50 YEARS,216603,46.85,ROOF,WOOD/BAMBOO,76596,16.57,46043
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,11-50 YEARS,216603,46.85,ROOF,OTHERS,4590,0.99,2466
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,OVER 50 YEARS,5985,1.29,WALL,BAKED BRICKS/BLOCKS/STONES,427161,92.39,5318
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,OVER 50 YEARS,5985,1.29,WALL,UNBAKED BRICKS/MUD,28943,6.26,554
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,OVER 50 YEARS,5985,1.29,WALL,WOOD/BAMBOO,3457,0.75,60
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,OVER 50 YEARS,5985,1.29,WALL,OTHERS,2772,0.6,53
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,OVER 50 YEARS,5985,1.29,ROOF,RCC/RBC,98431,21.29,992
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,OVER 50 YEARS,5985,1.29,ROOF,CEMENT/IRON SHEETS,14430,3.12,261
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,OVER 50 YEARS,5985,1.29,ROOF,GARDER/T.IRON,268286,58.03,2118
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,OVER 50 YEARS,5985,1.29,ROOF,WOOD/BAMBOO,76596,16.57,2514
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,TOTAL,OVER 50 YEARS,5985,1.29,ROOF,OTHERS,4590,0.99,100
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,UNDER CONSTRUCTION,5085,1.47,WALL,BAKED BRICKS/BLOCKS/STONES,315344,91.29,4502
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,UNDER CONSTRUCTION,5085,1.47,WALL,UNBAKED BRICKS/MUD,25174,7.29,387
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,UNDER CONSTRUCTION,5085,1.47,WALL,WOOD/BAMBOO,2685,0.78,120
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,UNDER CONSTRUCTION,5085,1.47,WALL,OTHERS,2223,0.64,76
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,UNDER CONSTRUCTION,5085,1.47,ROOF,RCC/RBC,42781,12.38,1176
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,UNDER CONSTRUCTION,5085,1.47,ROOF,CEMENT/IRON SHEETS,7950,2.3,266
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,UNDER CONSTRUCTION,5085,1.47,ROOF,GARDER/T.IRON,229767,66.52,2838
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,UNDER CONSTRUCTION,5085,1.47,ROOF,WOOD/BAMBOO,61411,17.78,703
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,UNDER CONSTRUCTION,5085,1.47,ROOF,OTHERS,3517,1.02,102
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,LESS THAN 5 YEARS,56643,16.4,WALL,BAKED BRICKS/BLOCKS/STONES,315344,91.29,51172
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,LESS THAN 5 YEARS,56643,16.4,WALL,UNBAKED BRICKS/MUD,25174,7.29,4295
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,LESS THAN 5 YEARS,56643,16.4,WALL,WOOD/BAMBOO,2685,0.78,741
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,LESS THAN 5 YEARS,56643,16.4,WALL,OTHERS,2223,0.64,435
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,LESS THAN 5 YEARS,56643,16.4,ROOF,RCC/RBC,42781,12.38,14094
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,LESS THAN 5 YEARS,56643,16.4,ROOF,CEMENT/IRON SHEETS,7950,2.3,2409
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,LESS THAN 5 YEARS,56643,16.4,ROOF,GARDER/T.IRON,229767,66.52,33297
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,LESS THAN 5 YEARS,56643,16.4,ROOF,WOOD/BAMBOO,61411,17.78,6304
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,LESS THAN 5 YEARS,56643,16.4,ROOF,OTHERS,3517,1.02,539
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,5-10 YEARS,126260,36.55,WALL,BAKED BRICKS/BLOCKS/STONES,315344,91.29,115496
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,5-10 YEARS,126260,36.55,WALL,UNBAKED BRICKS/MUD,25174,7.29,9074
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,5-10 YEARS,126260,36.55,WALL,WOOD/BAMBOO,2685,0.78,967
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,5-10 YEARS,126260,36.55,WALL,OTHERS,2223,0.64,723
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,5-10 YEARS,126260,36.55,ROOF,RCC/RBC,42781,12.38,15605
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,5-10 YEARS,126260,36.55,ROOF,CEMENT/IRON SHEETS,7950,2.3,2853
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,5-10 YEARS,126260,36.55,ROOF,GARDER/T.IRON,229767,66.52,89754
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,5-10 YEARS,126260,36.55,ROOF,WOOD/BAMBOO,61411,17.78,17077
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,5-10 YEARS,126260,36.55,ROOF,OTHERS,3517,1.02,971
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,11-50 YEARS,154484,44.72,WALL,BAKED BRICKS/BLOCKS/STONES,315344,91.29,141626
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,11-50 YEARS,154484,44.72,WALL,UNBAKED BRICKS/MUD,25174,7.29,11073
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,11-50 YEARS,154484,44.72,WALL,WOOD/BAMBOO,2685,0.78,829
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,11-50 YEARS,154484,44.72,WALL,OTHERS,2223,0.64,956
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,11-50 YEARS,154484,44.72,ROOF,RCC/RBC,42781,12.38,11623
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,11-50 YEARS,154484,44.72,ROOF,CEMENT/IRON SHEETS,7950,2.3,2269
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,11-50 YEARS,154484,44.72,ROOF,GARDER/T.IRON,229767,66.52,102410
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,11-50 YEARS,154484,44.72,ROOF,WOOD/BAMBOO,61411,17.78,36334
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,11-50 YEARS,154484,44.72,ROOF,OTHERS,3517,1.02,1848
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,OVER 50 YEARS,2954,0.86,WALL,BAKED BRICKS/BLOCKS/STONES,315344,91.29,2548
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,OVER 50 YEARS,2954,0.86,WALL,UNBAKED BRICKS/MUD,25174,7.29,345
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,OVER 50 YEARS,2954,0.86,WALL,WOOD/BAMBOO,2685,0.78,28
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,OVER 50 YEARS,2954,0.86,WALL,OTHERS,2223,0.64,33
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,OVER 50 YEARS,2954,0.86,ROOF,RCC/RBC,42781,12.38,283
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,OVER 50 YEARS,2954,0.86,ROOF,CEMENT/IRON SHEETS,7950,2.3,153
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,OVER 50 YEARS,2954,0.86,ROOF,GARDER/T.IRON,229767,66.52,1468
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,OVER 50 YEARS,2954,0.86,ROOF,WOOD/BAMBOO,61411,17.78,993
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,OVER 50 YEARS,2954,0.86,ROOF,OTHERS,3517,1.02,57
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,UNDER CONSTRUCTION,2744,2.35,WALL,BAKED BRICKS/BLOCKS/STONES,111817,95.65,2543
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,UNDER CONSTRUCTION,2744,2.35,WALL,UNBAKED BRICKS/MUD,3769,3.22,119
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,UNDER CONSTRUCTION,2744,2.35,WALL,WOOD/BAMBOO,772,0.66,35
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,UNDER CONSTRUCTION,2744,2.35,WALL,OTHERS,549,0.47,47
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,UNDER CONSTRUCTION,2744,2.35,ROOF,RCC/RBC,55650,47.6,1402
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,UNDER CONSTRUCTION,2744,2.35,ROOF,CEMENT/IRON SHEETS,6480,5.54,179
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,UNDER CONSTRUCTION,2744,2.35,ROOF,GARDER/T.IRON,38519,32.95,823
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,UNDER CONSTRUCTION,2744,2.35,ROOF,WOOD/BAMBOO,15185,12.99,298
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,UNDER CONSTRUCTION,2744,2.35,ROOF,OTHERS,1073,0.92,42
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,LESS THAN 5 YEARS,17681,15.12,WALL,BAKED BRICKS/BLOCKS/STONES,111817,95.65,16318
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,LESS THAN 5 YEARS,17681,15.12,WALL,UNBAKED BRICKS/MUD,3769,3.22,1099
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,LESS THAN 5 YEARS,17681,15.12,WALL,WOOD/BAMBOO,772,0.66,153
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,LESS THAN 5 YEARS,17681,15.12,WALL,OTHERS,549,0.47,111
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,LESS THAN 5 YEARS,17681,15.12,ROOF,RCC/RBC,55650,47.6,9839
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,LESS THAN 5 YEARS,17681,15.12,ROOF,CEMENT/IRON SHEETS,6480,5.54,1535
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,LESS THAN 5 YEARS,17681,15.12,ROOF,GARDER/T.IRON,38519,32.95,4915
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,LESS THAN 5 YEARS,17681,15.12,ROOF,WOOD/BAMBOO,15185,12.99,1239
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,LESS THAN 5 YEARS,17681,15.12,ROOF,OTHERS,1073,0.92,153
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,5-10 YEARS,31332,26.8,WALL,BAKED BRICKS/BLOCKS/STONES,111817,95.65,29988
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,5-10 YEARS,31332,26.8,WALL,UNBAKED BRICKS/MUD,3769,3.22,1015
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,5-10 YEARS,31332,26.8,WALL,WOOD/BAMBOO,772,0.66,207
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,5-10 YEARS,31332,26.8,WALL,OTHERS,549,0.47,122
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,5-10 YEARS,31332,26.8,ROOF,RCC/RBC,55650,47.6,15774
