province_name,district_code,district_name,area_name,area_type,ownership_status,number_of_rooms,total_housing_units_by_ownership,percent_of_total_units_by_ownership,total_housing_units_by_size,percent_of_total_units_by_size,count
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,RENT FREE,6,25630,6.72,4624,1.21,103
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,OWNED,7,345426,90.53,2336,0.61,2239
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,RENTED,7,10513,2.76,2336,0.61,30
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,RENT FREE,7,25630,6.72,2336,0.61,67
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,OWNED,8,345426,90.53,1173,0.31,1129
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,RENTED,8,10513,2.76,1173,0.31,14
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,RENT FREE,8,25630,6.72,1173,0.31,30
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,OWNED,9,345426,90.53,1378,0.36,1326
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,RENTED,9,10513,2.76,1378,0.36,10
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,RENT FREE,9,25630,6.72,1378,0.36,42
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,OWNED,1,116907,84.32,45597,32.89,36273
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,RENTED,1,18133,13.08,45597,32.89,7406
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,RENT FREE,1,3609,2.6,45597,32.89,1918
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,OWNED,2,116907,84.32,49590,35.77,41353
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,RENTED,2,18133,13.08,49590,35.77,7153
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,RENT FREE,2,3609,2.6,49590,35.77,1084
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,OWNED,3,116907,84.32,23770,17.14,20837
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,RENTED,3,18133,13.08,23770,17.14,2553
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,RENT FREE,3,3609,2.6,23770,17.14,380
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,OWNED,4,116907,84.32,11211,8.09,10376
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,RENTED,4,18133,13.08,11211,8.09,700
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,RENT FREE,4,3609,2.6,11211,8.09,135
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,OWNED,5,116907,84.32,3985,2.87,3786
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,RENTED,5,18133,13.08,3985,2.87,160
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,RENT FREE,5,3609,2.6,3985,2.87,39
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,OWNED,6,116907,84.32,2252,1.62,2166
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,RENTED,6,18133,13.08,2252,1.62,67
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,RENT FREE,6,3609,2.6,2252,1.62,19
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,OWNED,7,116907,84.32,1070,0.77,995
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,RENTED,7,18133,13.08,1070,0.77,59
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,RENT FREE,7,3609,2.6,1070,0.77,16
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,OWNED,8,116907,84.32,535,0.39,514
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,RENTED,8,18133,13.08,535,0.39,16
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,RENT FREE,8,3609,2.6,535,0.39,5
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,OWNED,9,116907,84.32,639,0.46,607
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,RENTED,9,18133,13.08,639,0.46,19
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,RENT FREE,9,3609,2.6,639,0.46,13
