province_name,district_code,district_name,area_name,area_type,gender,mother_tongue,count
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,ALL SEXES,HINDKO,677
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,ALL SEXES,BRAHVI,207
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,ALL SEXES,OTHER,262051
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,MALE,TOTAL,1328622
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,MALE,URDU,24668
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,MALE,PUNJABI,1161115
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,MALE,SINDHI,713
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,MALE,PUSHTO,1906
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,MALE,BALOCHI,82
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,MALE,KASHMIRI,1210
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,MALE,SARAIKI,2458
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,MALE,HINDKO,373
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,MALE,BRAHVI,101
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,MALE,OTHER,135996
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,FEMALE,TOTAL,1235368
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,FEMALE,URDU,22862
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,FEMALE,PUNJABI,1080666
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,FEMALE,SINDHI,497
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,FEMALE,PUSHTO,1528
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,FEMALE,BALOCHI,39
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,FEMALE,KASHMIRI,1235
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,FEMALE,SARAIKI,2085
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,FEMALE,HINDKO,304
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,FEMALE,BRAHVI,106
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,FEMALE,OTHER,126046
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,TRANSGENDER,TOTAL,111
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,TRANSGENDER,URDU,6
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,TRANSGENDER,PUNJABI,92
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,TRANSGENDER,SINDHI,0
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,TRANSGENDER,PUSHTO,0
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,TRANSGENDER,BALOCHI,0
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,TRANSGENDER,KASHMIRI,0
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,TRANSGENDER,SARAIKI,4
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,TRANSGENDER,HINDKO,0
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,TRANSGENDER,BRAHVI,0
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,RURAL,TRANSGENDER,OTHER,9
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,ALL SEXES,TOTAL,890780
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,ALL SEXES,URDU,14563
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,ALL SEXES,PUNJABI,862596
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,ALL SEXES,SINDHI,764
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,ALL SEXES,PUSHTO,3272
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,ALL SEXES,BALOCHI,144
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,ALL SEXES,KASHMIRI,219
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,ALL SEXES,SARAIKI,1620
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,ALL SEXES,HINDKO,244
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,ALL SEXES,BRAHVI,44
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,ALL SEXES,OTHER,7314
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,MALE,TOTAL,459995
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,MALE,URDU,7573
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,MALE,PUNJABI,444480
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,MALE,SINDHI,625
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,MALE,PUSHTO,2103
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,MALE,BALOCHI,105
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,MALE,KASHMIRI,144
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,MALE,SARAIKI,836
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,MALE,HINDKO,182
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,MALE,BRAHVI,31
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,MALE,OTHER,3916
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,FEMALE,TOTAL,430676
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,FEMALE,URDU,6990
PUNJAB,054,KASUR DISTRICT,KASUR DISTRICT,URBAN,FEMALE,PUNJABI,418011
