province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,utility,source,total_by_source,percent_by_source,count
KHYBER PAKTUNKHWA,019,BUNER DISTRICT,BUNER DISTRICT,TOTAL,5-10 YEARS,22305,31.35,LIGHTING SOURCE,KEROSENE OIL,886,1.25,357
KHYBER PAKTUNKHWA,019,BUNER DISTRICT,BUNER DISTRICT,TOTAL,5-10 YEARS,22305,31.35,LIGHTING SOURCE,GAS LAMP,750,1.05,187
KHYBER PAKTUNKHWA,019,BUNER DISTRICT,BUNER DISTRICT,TOTAL,5-10 YEARS,22305,31.35,LIGHTING SOURCE,OTHERS,8162,11.47,2575
KHYBER PAKTUNKHWA,019,BUNER DISTRICT,BUNER DISTRICT,TOTAL,11-50 YEARS,37093,52.13,INSIDE WATER,TAP,27995,39.35,14769
KHYBER PAKTUNKHWA,019,BUNER DISTRICT,BUNER DISTRICT,TOTAL,11-50 YEARS,37093,52.13,INSIDE WATER,ELECTRIC/HAND PUMP,11184,15.72,5818
KHYBER PAKTUNKHWA,019,BUNER DISTRICT,BUNER DISTRICT,TOTAL,11-50 YEARS,37093,52.13,INSIDE WATER,PROTECTED WELL,7913,11.12,4194
KHYBER PAKTUNKHWA,019,BUNER DISTRICT,BUNER DISTRICT,TOTAL,11-50 YEARS,37093,52.13,INSIDE WATER,UN-PROTECTED WELL,1135,1.6,532
KHYBER PAKTUNKHWA,019,BUNER DISTRICT,BUNER DISTRICT,TOTAL,11-50 YEARS,37093,52.13,INSIDE WATER,OTHERS,6398,8.99,3258
KHYBER PAKTUNKHWA,019,BUNER DISTRICT,BUNER DISTRICT,TOTAL,11-50 YEARS,37093,52.13,OUTSIDE WATER,TAP,4511,6.34,2549
KHYBER PAKTUNKHWA,019,BUNER DISTRICT,BUNER DISTRICT,TOTAL,11-50 YEARS,37093,52.13,OUTSIDE WATER,ELECTRIC/HAND PUMP,2155,3.03,1119
KHYBER PAKTUNKHWA,019,BUNER DISTRICT,BUNER DISTRICT,TOTAL,11-50 YEARS,37093,52.13,OUTSIDE WATER,PROTECTED WELL,1888,2.65,909
KHYBER PAKTUNKHWA,019,BUNER DISTRICT,BUNER DISTRICT,TOTAL,11-50 YEARS,37093,52.13,OUTSIDE WATER,UN-PROTECTED WELL,541,0.76,263
KHYBER PAKTUNKHWA,019,BUNER DISTRICT,BUNER DISTRICT,TOTAL,11-50 YEARS,37093,52.13,OUTSIDE WATER,SPRING,4759,6.69,2248
