province_name,district_code,district_name,area_name,area_type,ownership_status,number_of_rooms,total_housing_units_by_ownership,percent_of_total_units_by_ownership,total_housing_units_by_size,percent_of_total_units_by_size,count
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,OWNED,6,17256,94.88,66,0.36,65
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENTED,6,32,0.18,66,0.36,0
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENT FREE,6,899,4.94,66,0.36,1
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,OWNED,7,17256,94.88,47,0.26,46
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENTED,7,32,0.18,47,0.26,0
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENT FREE,7,899,4.94,47,0.26,1
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,OWNED,8,17256,94.88,20,0.11,20
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENTED,8,32,0.18,20,0.11,0
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENT FREE,8,899,4.94,20,0.11,0
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,OWNED,9,17256,94.88,51,0.28,49
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENTED,9,32,0.18,51,0.28,0
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENT FREE,9,899,4.94,51,0.28,2
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,OWNED,1,5864,94.19,530,8.51,500
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENTED,1,181,2.91,530,8.51,10
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENT FREE,1,181,2.91,530,8.51,20
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,OWNED,2,5864,94.19,1817,29.18,1680
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENTED,2,181,2.91,1817,29.18,65
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENT FREE,2,181,2.91,1817,29.18,72
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,OWNED,3,5864,94.19,1561,25.07,1467
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENTED,3,181,2.91,1561,25.07,54
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENT FREE,3,181,2.91,1561,25.07,40
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,OWNED,4,5864,94.19,1208,19.4,1148
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENTED,4,181,2.91,1208,19.4,31
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENT FREE,4,181,2.91,1208,19.4,29
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,OWNED,5,5864,94.19,442,7.1,422
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENTED,5,181,2.91,442,7.1,13
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENT FREE,5,181,2.91,442,7.1,7
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,OWNED,6,5864,94.19,246,3.95,237
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENTED,6,181,2.91,246,3.95,3
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENT FREE,6,181,2.91,246,3.95,6
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,OWNED,7,5864,94.19,125,2.01,121
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENTED,7,181,2.91,125,2.01,0
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENT FREE,7,181,2.91,125,2.01,4
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,OWNED,8,5864,94.19,94,1.51,92
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENTED,8,181,2.91,94,1.51,1
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENT FREE,8,181,2.91,94,1.51,1
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,OWNED,9,5864,94.19,203,3.26,197
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENTED,9,181,2.91,203,3.26,4
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,RENT FREE,9,181,2.91,203,3.26,2
