province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,facility,source,total_by_facility,percent_by_facility,count
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,OWNED,17256,94.88,KITCHEN,SEPARATE,6018,33.09,5806
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,OWNED,17256,94.88,KITCHEN,SHARED,8492,46.69,8170
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,OWNED,17256,94.88,KITCHEN,NONE,3677,20.22,3280
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,OWNED,17256,94.88,BATH,SEPARATE,4960,27.27,4731
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,OWNED,17256,94.88,BATH,SHARED,10872,59.78,10409
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,OWNED,17256,94.88,BATH,NONE,2355,12.95,2116
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,OWNED,17256,94.88,LATRINE,SEWER,174,0.96,169
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,OWNED,17256,94.88,LATRINE,SEPTIC TANK,551,3.03,538
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,OWNED,17256,94.88,LATRINE,OPEN DRAIN,1164,6.4,1116
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,OWNED,17256,94.88,LATRINE,PIT WITH SLAB,6874,37.8,6621
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,OWNED,17256,94.88,LATRINE,OTHER,4272,23.49,4023
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,OWNED,17256,94.88,LATRINE,NONE,5152,28.33,4789
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENTED,32,0.18,KITCHEN,SEPARATE,6018,33.09,12
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENTED,32,0.18,KITCHEN,SHARED,8492,46.69,15
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENTED,32,0.18,KITCHEN,NONE,3677,20.22,5
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENTED,32,0.18,BATH,SEPARATE,4960,27.27,5
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENTED,32,0.18,BATH,SHARED,10872,59.78,23
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENTED,32,0.18,BATH,NONE,2355,12.95,4
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENTED,32,0.18,LATRINE,SEWER,174,0.96,1
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENTED,32,0.18,LATRINE,SEPTIC TANK,551,3.03,1
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENTED,32,0.18,LATRINE,OPEN DRAIN,1164,6.4,3
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENTED,32,0.18,LATRINE,PIT WITH SLAB,6874,37.8,11
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENTED,32,0.18,LATRINE,OTHER,4272,23.49,10
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENTED,32,0.18,LATRINE,NONE,5152,28.33,6
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENT FREE,899,4.94,KITCHEN,SEPARATE,6018,33.09,200
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENT FREE,899,4.94,KITCHEN,SHARED,8492,46.69,307
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENT FREE,899,4.94,KITCHEN,NONE,3677,20.22,392
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENT FREE,899,4.94,BATH,SEPARATE,4960,27.27,224
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENT FREE,899,4.94,BATH,SHARED,10872,59.78,440
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENT FREE,899,4.94,BATH,NONE,2355,12.95,235
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENT FREE,899,4.94,LATRINE,SEWER,174,0.96,4
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENT FREE,899,4.94,LATRINE,SEPTIC TANK,551,3.03,12
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENT FREE,899,4.94,LATRINE,OPEN DRAIN,1164,6.4,45
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENT FREE,899,4.94,LATRINE,PIT WITH SLAB,6874,37.8,242
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENT FREE,899,4.94,LATRINE,OTHER,4272,23.49,239
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,RURAL,RENT FREE,899,4.94,LATRINE,NONE,5152,28.33,357
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,OWNED,5864,94.19,KITCHEN,SEPARATE,3284,52.75,3066
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,OWNED,5864,94.19,KITCHEN,SHARED,2804,45.04,2695
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,OWNED,5864,94.19,KITCHEN,NONE,138,2.22,103
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,OWNED,5864,94.19,BATH,SEPARATE,3492,56.09,3271
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,OWNED,5864,94.19,BATH,SHARED,2620,42.08,2490
BALOCHISTAN,106,KHARAN DISTRICT,KHARAN DISTRICT,URBAN,OWNED,5864,94.19,BATH,NONE,114,1.83,103
