province_name,district_code,district_name,area_name,area_type,gender,cnic_status,age_group,count
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,20 - 24,14
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,25 - 29,312269
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,25 - 29,255832
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,25 - 29,56437
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,TOTAL POPULATION,25 - 29,154703
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,CNIC OBTAINED,25 - 29,142143
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,25 - 29,12560
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,25 - 29,157534
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,25 - 29,113662
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,25 - 29,43872
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,25 - 29,32
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,25 - 29,27
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,25 - 29,5
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,30 - 34,272431
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,30 - 34,242245
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,30 - 34,30186
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,TOTAL POPULATION,30 - 34,131351
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,CNIC OBTAINED,30 - 34,125322
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,30 - 34,6029
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,30 - 34,141047
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,30 - 34,116897
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,30 - 34,24150
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,30 - 34,33
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,30 - 34,26
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,30 - 34,7
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,35 - 39,246665
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,35 - 39,231165
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,35 - 39,15500
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,TOTAL POPULATION,35 - 39,125578
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,CNIC OBTAINED,35 - 39,121931
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,35 - 39,3647
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,35 - 39,121058
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,35 - 39,109216
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,35 - 39,11842
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,35 - 39,29
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,35 - 39,18
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,35 - 39,11
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,40 - 44,176780
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,40 - 44,166594
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,40 - 44,10186
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,TOTAL POPULATION,40 - 44,88739
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,CNIC OBTAINED,40 - 44,86294
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,40 - 44,2445
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,40 - 44,88018
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,40 - 44,80281
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,40 - 44,7737
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,40 - 44,23
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,40 - 44,19
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,40 - 44,4
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,45 - 49,145468
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,45 - 49,139580
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,45 - 49,5888
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,TOTAL POPULATION,45 - 49,74455
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,CNIC OBTAINED,45 - 49,72947
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,45 - 49,1508
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,45 - 49,70990
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,45 - 49,66612
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,45 - 49,4378
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,45 - 49,23
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,45 - 49,21
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,45 - 49,2
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,50 - 54,122554
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,50 - 54,117599
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,50 - 54,4955
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,TOTAL POPULATION,50 - 54,64890
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,CNIC OBTAINED,50 - 54,63478
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,50 - 54,1412
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,50 - 54,57635
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,50 - 54,54095
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,50 - 54,3540
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,50 - 54,29
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,50 - 54,26
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,50 - 54,3
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,55 - 59,83579
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,55 - 59,80470
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,55 - 59,3109
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,TOTAL POPULATION,55 - 59,44280
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,CNIC OBTAINED,55 - 59,43415
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,55 - 59,865
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,55 - 59,39284
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,55 - 59,37043
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,55 - 59,2241
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,55 - 59,15
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,55 - 59,12
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,55 - 59,3
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,60 - 64,75743
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,60 - 64,72149
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,60 - 64,3594
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,TOTAL POPULATION,60 - 64,36718
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,CNIC OBTAINED,60 - 64,35749
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,60 - 64,969
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,60 - 64,39009
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,60 - 64,36387
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,60 - 64,2622
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,60 - 64,16
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,60 - 64,13
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,60 - 64,3
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,65 - 69,56019
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,65 - 69,53561
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,65 - 69,2458
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,TOTAL POPULATION,65 - 69,28535
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,CNIC OBTAINED,65 - 69,27822
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,65 - 69,713
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,65 - 69,27474
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,65 - 69,25731
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,65 - 69,1743
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,65 - 69,10
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,65 - 69,8
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,65 - 69,2
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,70 - 74,40123
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,70 - 74,37510
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,70 - 74,2613
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,TOTAL POPULATION,70 - 74,21202
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,CNIC OBTAINED,70 - 74,20372
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,70 - 74,830
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,70 - 74,18916
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,70 - 74,17135
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,70 - 74,1781
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,70 - 74,5
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,70 - 74,3
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,70 - 74,2
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,75 AND ABOVE,49056
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,75 AND ABOVE,44680
PUNJAB,070,MUZAFFARGARH DISTRICT,MUZAFFARGARH DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,75 AND ABOVE,4376
