province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,1,3991,2.19,29181,16.05,619
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,1,17564,9.66,29181,16.05,2777
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,5-10 YEARS,1,46377,25.5,29181,16.05,7276
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,11-50 YEARS,1,107255,58.98,29181,16.05,17154
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,OVER 50 YEARS,1,6665,3.67,29181,16.05,1355
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,2,3991,2.19,64660,35.56,1471
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,2,17564,9.66,64660,35.56,5855
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,5-10 YEARS,2,46377,25.5,64660,35.56,17696
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,11-50 YEARS,2,107255,58.98,64660,35.56,37199
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,OVER 50 YEARS,2,6665,3.67,64660,35.56,2439
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,3,3991,2.19,42127,23.17,987
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,3,17564,9.66,42127,23.17,4624
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,5-10 YEARS,3,46377,25.5,42127,23.17,10845
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,11-50 YEARS,3,107255,58.98,42127,23.17,24297
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,OVER 50 YEARS,3,6665,3.67,42127,23.17,1374
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,4,3991,2.19,24098,13.25,506
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,4,17564,9.66,24098,13.25,2435
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,5-10 YEARS,4,46377,25.5,24098,13.25,5863
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,11-50 YEARS,4,107255,58.98,24098,13.25,14547
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,OVER 50 YEARS,4,6665,3.67,24098,13.25,747
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,5,3991,2.19,9365,5.15,188
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,5,17564,9.66,9365,5.15,745
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,5-10 YEARS,5,46377,25.5,9365,5.15,2085
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,11-50 YEARS,5,107255,58.98,9365,5.15,6035
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,OVER 50 YEARS,5,6665,3.67,9365,5.15,312
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,6,3991,2.19,6110,3.36,110
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,6,17564,9.66,6110,3.36,570
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,5-10 YEARS,6,46377,25.5,6110,3.36,1348
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,11-50 YEARS,6,107255,58.98,6110,3.36,3869
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,OVER 50 YEARS,6,6665,3.67,6110,3.36,213
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,7,3991,2.19,2404,1.32,32
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,7,17564,9.66,2404,1.32,196
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,5-10 YEARS,7,46377,25.5,2404,1.32,498
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,11-50 YEARS,7,107255,58.98,2404,1.32,1590
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,OVER 50 YEARS,7,6665,3.67,2404,1.32,88
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,8,3991,2.19,1880,1.03,34
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,8,17564,9.66,1880,1.03,166
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,5-10 YEARS,8,46377,25.5,1880,1.03,378
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,11-50 YEARS,8,107255,58.98,1880,1.03,1238
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,OVER 50 YEARS,8,6665,3.67,1880,1.03,64
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,UNDER CONSTRUCTION,9 AND MORE,3991,2.19,2027,1.11,44
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,LESS THAN 5 YEARS,9 AND MORE,17564,9.66,2027,1.11,196
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,5-10 YEARS,9 AND MORE,46377,25.5,2027,1.11,388
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,11-50 YEARS,9 AND MORE,107255,58.98,2027,1.11,1326
KHYBER PAKTUNKHWA,005,ABBOTTABAD DISTRICT,ABBOTTABAD DISTRICT,TOTAL,OVER 50 YEARS,9 AND MORE,6665,3.67,2027,1.11,73
