province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,9 PERSONS,3,8785,9.01,3.28,21396,21.94,8.4,2578
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,10 PERSONS AND ABOVE,3,32429,33.25,4.49,21396,21.94,8.4,6774
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,1 PERSON,4,1251,1.28,1.94,14929,15.31,9.94,60
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,2 PERSONS,4,3955,4.06,1.85,14929,15.31,9.94,188
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,3 PERSONS,4,4685,4.8,2.01,14929,15.31,9.94,254
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,4 PERSONS,4,6633,6.8,2.18,14929,15.31,9.94,468
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,5 PERSONS,4,8582,8.8,2.4,14929,15.31,9.94,779
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,6 PERSONS,4,10105,10.36,2.59,14929,15.31,9.94,1163
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,7 PERSONS,4,10788,11.06,2.8,14929,15.31,9.94,1453
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,8 PERSONS,4,10314,10.58,3.02,14929,15.31,9.94,1665
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,9 PERSONS,4,8785,9.01,3.28,14929,15.31,9.94,1737
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,10 PERSONS AND ABOVE,4,32429,33.25,4.49,14929,15.31,9.94,7162
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,1 PERSON,5,1251,1.28,1.94,8386,8.6,11.58,30
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,2 PERSONS,5,3955,4.06,1.85,8386,8.6,11.58,86
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,3 PERSONS,5,4685,4.8,2.01,8386,8.6,11.58,105
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,4 PERSONS,5,6633,6.8,2.18,8386,8.6,11.58,178
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,5 PERSONS,5,8582,8.8,2.4,8386,8.6,11.58,309
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,6 PERSONS,5,10105,10.36,2.59,8386,8.6,11.58,435
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,7 PERSONS,5,10788,11.06,2.8,8386,8.6,11.58,591
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,8 PERSONS,5,10314,10.58,3.02,8386,8.6,11.58,731
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,9 PERSONS,5,8785,9.01,3.28,8386,8.6,11.58,747
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,10 PERSONS AND ABOVE,5,32429,33.25,4.49,8386,8.6,11.58,5174
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,1 PERSON,6,1251,1.28,1.94,4992,5.12,13.02,24
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,2 PERSONS,6,3955,4.06,1.85,4992,5.12,13.02,52
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,3 PERSONS,6,4685,4.8,2.01,4992,5.12,13.02,56
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,4 PERSONS,6,6633,6.8,2.18,4992,5.12,13.02,91
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,5 PERSONS,6,8582,8.8,2.4,4992,5.12,13.02,139
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,6 PERSONS,6,10105,10.36,2.59,4992,5.12,13.02,205
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,7 PERSONS,6,10788,11.06,2.8,4992,5.12,13.02,276
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,8 PERSONS,6,10314,10.58,3.02,4992,5.12,13.02,330
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,9 PERSONS,6,8785,9.01,3.28,4992,5.12,13.02,421
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,10 PERSONS AND ABOVE,6,32429,33.25,4.49,4992,5.12,13.02,3398
KHYBER PAKTUNKHWA,002,LAKKI MARWAT DISTRICT,LAKKI MARWAT DISTRICT,TOTAL,1 PERSON,7,1251,1.28,1.94,2534,2.6,14.34,11
