province_name,district_code,district_name,area_name,area_type,gender,nationality_status,age_group,count
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,ALL SEXES,PAKISTANI,20 - 24,207112
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,20 - 24,60
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,URBAN,ALL SEXES,TOTAL,20 - 24,48236
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,URBAN,ALL SEXES,PAKISTANI,20 - 24,48224
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,20 - 24,12
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,TOTAL,25 - 29,224546
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,PAKISTANI,25 - 29,224500
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,NON-PAKISTANI,25 - 29,46
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,ALL SEXES,TOTAL,25 - 29,182221
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,ALL SEXES,PAKISTANI,25 - 29,182186
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,RURAL,ALL SEXES,NON-PAKISTANI,25 - 29,35
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,URBAN,ALL SEXES,TOTAL,25 - 29,42325
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,URBAN,ALL SEXES,PAKISTANI,25 - 29,42314
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,URBAN,ALL SEXES,NON-PAKISTANI,25 - 29,11
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,TOTAL,30 - 34,197373
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,PAKISTANI,30 - 34,197345
