province_name,district_code,district_name,area_name,area_type,gender,age_group,total_population,literacy_ratio,literacy_status,count
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,2099200,55.36,ILLITERATE,937032
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,10 - 14,325835,76.54,ILLITERATE,76436
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,15 - 19,287993,72.11,ILLITERATE,80322
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,20 - 24,255408,65.48,ILLITERATE,88173
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,25 - 29,224546,58.24,ILLITERATE,93776
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,30 - 34,197373,53.75,ILLITERATE,91289
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,35 - 39,173322,50.04,ILLITERATE,86588
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,40 - 44,142677,45.55,ILLITERATE,77689
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,45 - 49,122816,38.2,ILLITERATE,75895
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,50 - 54,108189,34.45,ILLITERATE,70913
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,55 - 59,76876,31.66,ILLITERATE,52534
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,60 - 64,64570,27.45,ILLITERATE,46847
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,65 - 69,45140,21.61,ILLITERATE,35383
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,70 - 74,34213,19.99,ILLITERATE,27375
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,40242,15.98,ILLITERATE,33812
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,2099200,55.36,TOTAL LITERATE,1162168
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,10 - 14,325835,76.54,TOTAL LITERATE,249399
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,15 - 19,287993,72.11,TOTAL LITERATE,207671
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,20 - 24,255408,65.48,TOTAL LITERATE,167235
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,25 - 29,224546,58.24,TOTAL LITERATE,130770
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,30 - 34,197373,53.75,TOTAL LITERATE,106084
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,35 - 39,173322,50.04,TOTAL LITERATE,86734
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,40 - 44,142677,45.55,TOTAL LITERATE,64988
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,45 - 49,122816,38.2,TOTAL LITERATE,46921
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,50 - 54,108189,34.45,TOTAL LITERATE,37276
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,55 - 59,76876,31.66,TOTAL LITERATE,24342
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,60 - 64,64570,27.45,TOTAL LITERATE,17723
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,65 - 69,45140,21.61,TOTAL LITERATE,9757
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,70 - 74,34213,19.99,TOTAL LITERATE,6838
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,40242,15.98,TOTAL LITERATE,6430
