province_name,district_code,district_name,area_name,area_type,gender,cnic_status,age_group,count
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,25 - 29,31
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,25 - 29,17
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,30 - 34,197345
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,30 - 34,163043
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC NOT OBTAINED,30 - 34,34302
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,TOTAL POPULATION,30 - 34,94684
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC OBTAINED,30 - 34,88761
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CNIC NOT OBTAINED,30 - 34,5923
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,TOTAL POPULATION,30 - 34,102629
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC OBTAINED,30 - 34,74257
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CNIC NOT OBTAINED,30 - 34,28372
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,TOTAL POPULATION,30 - 34,32
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC OBTAINED,30 - 34,25
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,TRANSGENDER,CNIC NOT OBTAINED,30 - 34,7
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,TOTAL POPULATION,35 - 39,173302
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CNIC OBTAINED,35 - 39,153858
