province_name,district_code,district_name,area_name,area_type,gender,religious_affiliation,count
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,TOTAL,2902081
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,MUSLIM,2882036
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,CHRISTIAN,18928
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,HINDU,7
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,AHMADI,924
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,SCHEDULED CASTES,172
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,ALL SEXES,OTHERS,14
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,TOTAL,1463796
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,MUSLIM,1453498
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,CHRISTIAN,9738
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,HINDU,4
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,AHMADI,436
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,SCHEDULED CASTES,114
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,MALE,OTHERS,6
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,TOTAL,1437989
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,MUSLIM,1428245
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,CHRISTIAN,9187
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,HINDU,3
PUNJAB,074,VEHARI DISTRICT,VEHARI DISTRICT,TOTAL,FEMALE,AHMADI,488
