province_name,district_code,district_name,area_name,area_type,gender,age_group,total_population,literacy_ratio,literacy_status,count
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,1103243,44.18,ILLITERATE,615815
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,10 - 14,200676,61.11,ILLITERATE,78050
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,15 - 19,163339,57.05,ILLITERATE,70147
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,20 - 24,135649,49.56,ILLITERATE,68425
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,25 - 29,129150,41.59,ILLITERATE,75439
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,30 - 34,100011,40.83,ILLITERATE,59181
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,35 - 39,79333,38.91,ILLITERATE,48467
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,40 - 44,64629,34.42,ILLITERATE,42383
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,45 - 49,58082,27.28,ILLITERATE,42236
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,50 - 54,50841,25.98,ILLITERATE,37632
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,55 - 59,36458,27.21,ILLITERATE,26538
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,60 - 64,32127,24.29,ILLITERATE,24322
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,65 - 69,22519,20.88,ILLITERATE,17818
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,70 - 74,14506,18.89,ILLITERATE,11766
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,15923,15.78,ILLITERATE,13411
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,1103243,44.18,TOTAL LITERATE,487428
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,10 - 14,200676,61.11,TOTAL LITERATE,122626
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,15 - 19,163339,57.05,TOTAL LITERATE,93192
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,20 - 24,135649,49.56,TOTAL LITERATE,67224
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,25 - 29,129150,41.59,TOTAL LITERATE,53711
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,30 - 34,100011,40.83,TOTAL LITERATE,40830
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,35 - 39,79333,38.91,TOTAL LITERATE,30866
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,40 - 44,64629,34.42,TOTAL LITERATE,22246
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,45 - 49,58082,27.28,TOTAL LITERATE,15846
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,50 - 54,50841,25.98,TOTAL LITERATE,13209
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,55 - 59,36458,27.21,TOTAL LITERATE,9920
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,60 - 64,32127,24.29,TOTAL LITERATE,7805
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,65 - 69,22519,20.88,TOTAL LITERATE,4701
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,70 - 74,14506,18.89,TOTAL LITERATE,2740
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,75 AND ABOVE,15923,15.78,TOTAL LITERATE,2512
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,10 AND ABOVE,1103243,44.18,FORMAL LITERATE,478715
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,10 - 14,200676,61.11,FORMAL LITERATE,121755
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,15 - 19,163339,57.05,FORMAL LITERATE,92285
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,20 - 24,135649,49.56,FORMAL LITERATE,66195
KHYBER PAKTUNKHWA,003,DERA ISMAIL KHAN DISTRICT,DERA ISMAIL KHAN DISTRICT,TOTAL,ALL SEXES,25 - 29,129150,41.59,FORMAL LITERATE,52573
