province_name,district_code,district_name,area_name,area_type,construction_age,roof_material,total_by_roof_material,percent_by_roof_material,wall_material,total_by_wall_material,percent_by_wall_material,count
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,LESS THAN 5 YEARS,CEMENT/IRON SHEETS,874,2.14,OTHERS,770,1.89,2
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,874,2.14,BAKED BRICKS/BLOCKS/STONES,3237,7.93,155
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,874,2.14,UNBAKED BRICKS/MUD,5490,13.44,90
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,874,2.14,WOOD/BAMBOO,3907,9.57,25
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,5 - 10 YEARS,CEMENT/IRON SHEETS,874,2.14,OTHERS,1267,3.1,1
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,874,2.14,BAKED BRICKS/BLOCKS/STONES,2190,5.36,188
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,874,2.14,UNBAKED BRICKS/MUD,7118,17.43,171
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,874,2.14,WOOD/BAMBOO,2994,7.33,21
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,11 - 50 YEARS,CEMENT/IRON SHEETS,874,2.14,OTHERS,1041,2.55,2
BALOCHISTAN,124,DERA BUGTI DISTRICT,DERA BUGTI DISTRICT,TOTAL,OVER 50 YEARS,CEMENT/IRON SHEETS,874,2.14,BAKED BRICKS/BLOCKS/STONES,83,0.2,3
