province_name,district_code,district_name,area_name,area_type,construction_age,total_by_age,percent_by_age,utility,source,total_by_source,percent_by_source,count
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,6306,1.23,INSIDE WATER,TAP,116938,22.89,2128
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,6306,1.23,INSIDE WATER,ELECTRIC/HAND PUMP,327552,64.12,3449
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,6306,1.23,INSIDE WATER,PROTECTED WELL,806,0.16,17
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,6306,1.23,INSIDE WATER,UN-PROTECTED WELL,818,0.16,14
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,6306,1.23,INSIDE WATER,OTHERS,19599,3.84,273
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,6306,1.23,OUTSIDE WATER,TAP,14723,2.88,135
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,6306,1.23,OUTSIDE WATER,ELECTRIC/HAND PUMP,17037,3.34,142
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,6306,1.23,OUTSIDE WATER,PROTECTED WELL,676,0.13,5
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,6306,1.23,OUTSIDE WATER,UN-PROTECTED WELL,187,0.04,1
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,6306,1.23,OUTSIDE WATER,SPRING,78,0.02,1
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,6306,1.23,OUTSIDE WATER,CANAL/RIVER/POND,2285,0.45,18
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,6306,1.23,OUTSIDE WATER,OTHERS,10137,1.98,123
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,6306,1.23,COOKING FUEL,WOOD,410283,80.32,5133
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,6306,1.23,COOKING FUEL,GAS,92495,18.11,1000
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,6306,1.23,COOKING FUEL,KEROSENE OIL,667,0.13,8
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,6306,1.23,COOKING FUEL,OTHERS,7391,1.45,165
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,6306,1.23,LIGHTING SOURCE,ELECTRICITY,455381,89.14,5584
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,6306,1.23,LIGHTING SOURCE,KEROSENE OIL,19519,3.82,237
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,6306,1.23,LIGHTING SOURCE,GAS LAMP,469,0.09,8
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,UNDER CONSTRUCTION,6306,1.23,LIGHTING SOURCE,OTHERS,35467,6.94,477
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,LESS THAN 5 YEARS,82782,16.21,INSIDE WATER,TAP,116938,22.89,19298
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,LESS THAN 5 YEARS,82782,16.21,INSIDE WATER,ELECTRIC/HAND PUMP,327552,64.12,50006
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,LESS THAN 5 YEARS,82782,16.21,INSIDE WATER,PROTECTED WELL,806,0.16,147
PUNJAB,065,BAHAWALPUR DISTRICT,BAHAWALPUR DISTRICT,TOTAL,LESS THAN 5 YEARS,82782,16.21,INSIDE WATER,UN-PROTECTED WELL,818,0.16,182
