province_name,district_code,district_name,area_name,area_type,area_sq_km,total_pop,total_male,total_female,total_trans,sex_ratio,pop_density,pct_urban,avg_hh_size,total_pop_98,avg_annual_growth
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,1543,1625477,815828,809550,99,100.78,1053.45,16.98,7.56,1026804,2.44
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,RURAL,NA,1349513,679142,670297,74,101.32,NA,NA,7.58,847590,2.47
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,URBAN,NA,275964,136686,139253,25,98.16,NA,NA,7.43,179214,2.29
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,TOTAL,318,305782,154603,151162,17,102.28,961.58,13.51,7.71,187558,2.6
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,RURAL,NA,264463,134329,130119,15,103.24,NA,NA,7.73,159697,2.69
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,URBAN,NA,41319,20274,21043,2,96.35,NA,NA,7.59,27861,2.09
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,RAZAR TEHSIL,TOTAL,418,584876,290746,294111,19,98.86,1399.22,4.48,7.64,376106,2.35
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,RAZAR TEHSIL,RURAL,NA,558662,277621,281022,19,98.79,NA,NA,7.67,358024,2.37
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,RAZAR TEHSIL,URBAN,NA,26214,13125,13089,0,100.28,NA,NA,7.19,18082,1.97
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,TOTAL,389,406321,199677,206612,32,96.64,1044.53,38.25,7.65,258006,2.41
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,RURAL,NA,250916,123384,127520,12,96.76,NA,NA,7.75,155193,2.56
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,URBAN,NA,155405,76293,79092,20,96.46,NA,NA,7.49,102813,2.19
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,TOPI TEHSIL,TOTAL,418,328498,170802,157665,31,108.33,785.88,16.14,7.17,205134,2.5
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,TOPI TEHSIL,RURAL,NA,275472,143808,131636,28,109.25,NA,NA,7.15,174676,2.42
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,TOPI TEHSIL,URBAN,NA,53026,26994,26029,3,103.71,NA,NA,7.28,30458,2.96
