province_name,district_code,district_name,area_name,locality_name,locality_bucket,pop_98,avg_annual_growth_98_17,avg_hh_size,gender,total_population
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,SWABI MC,"100,000 - 199,999",80157,2.29,7.58,ALL SEXES,123402
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,SWABI MC,"100,000 - 199,999",80157,2.29,7.58,MALE,60542
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,SWABI MC,"100,000 - 199,999",80157,2.29,7.58,FEMALE,62840
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,SWABI MC,"100,000 - 199,999",80157,2.29,7.58,TRANSGENDER,20
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,TOPI TEHSIL,TOPI MC,"50,000 - 99,999",30458,2.96,7.28,ALL SEXES,53026
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,TOPI TEHSIL,TOPI MC,"50,000 - 99,999",30458,2.96,7.28,MALE,26994
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,TOPI TEHSIL,TOPI MC,"50,000 - 99,999",30458,2.96,7.28,FEMALE,26029
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,TOPI TEHSIL,TOPI MC,"50,000 - 99,999",30458,2.96,7.28,TRANSGENDER,3
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,TORDHER TC,"25,000 - 49,999",27861,2.09,7.59,ALL SEXES,41319
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,TORDHER TC,"25,000 - 49,999",27861,2.09,7.59,MALE,20274
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,TORDHER TC,"25,000 - 49,999",27861,2.09,7.59,FEMALE,21043
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,LAHOR TEHSIL,TORDHER TC,"25,000 - 49,999",27861,2.09,7.59,TRANSGENDER,2
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,ZAIDA MC,"25,000 - 49,999",22656,1.83,7.16,ALL SEXES,32003
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,ZAIDA MC,"25,000 - 49,999",22656,1.83,7.16,MALE,15751
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,ZAIDA MC,"25,000 - 49,999",22656,1.83,7.16,FEMALE,16252
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI TEHSIL,ZAIDA MC,"25,000 - 49,999",22656,1.83,7.16,TRANSGENDER,0
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,RAZAR TEHSIL,COL. SHER KILLI/NAWAN KILLI TC,"25,000 - 49,999",18082,1.97,7.19,ALL SEXES,26214
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,RAZAR TEHSIL,COL. SHER KILLI/NAWAN KILLI TC,"25,000 - 49,999",18082,1.97,7.19,MALE,13125
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,RAZAR TEHSIL,COL. SHER KILLI/NAWAN KILLI TC,"25,000 - 49,999",18082,1.97,7.19,FEMALE,13089
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,RAZAR TEHSIL,COL. SHER KILLI/NAWAN KILLI TC,"25,000 - 49,999",18082,1.97,7.19,TRANSGENDER,0
