province_name,district_code,district_name,area_name,area_type,construction_duration,number_of_rooms,total_housing_units_by_duration,percent_of_total_units_by_duration,total_housing_units_by_size,percent_of_total_units_by_size,count
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,UNDER CONSTRUCTION,1,2370,1.35,35554,20.21,478
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,LESS THAN 5 YEARS,1,19966,11.35,35554,20.21,3587
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,5-10 YEARS,1,43575,24.78,35554,20.21,8560
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,11-50 YEARS,1,105279,59.86,35554,20.21,21873
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,OVER 50 YEARS,1,4692,2.67,35554,20.21,1056
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,UNDER CONSTRUCTION,2,2370,1.35,57843,32.89,766
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,LESS THAN 5 YEARS,2,19966,11.35,57843,32.89,6655
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,5-10 YEARS,2,43575,24.78,57843,32.89,14693
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,11-50 YEARS,2,105279,59.86,57843,32.89,34195
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,OVER 50 YEARS,2,4692,2.67,57843,32.89,1534
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,UNDER CONSTRUCTION,3,2370,1.35,37991,21.6,554
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,LESS THAN 5 YEARS,3,19966,11.35,37991,21.6,4482
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,5-10 YEARS,3,43575,24.78,37991,21.6,9399
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,11-50 YEARS,3,105279,59.86,37991,21.6,22574
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,OVER 50 YEARS,3,4692,2.67,37991,21.6,982
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,UNDER CONSTRUCTION,4,2370,1.35,24487,13.92,318
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,LESS THAN 5 YEARS,4,19966,11.35,24487,13.92,2942
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,5-10 YEARS,4,43575,24.78,24487,13.92,6123
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,11-50 YEARS,4,105279,59.86,24487,13.92,14522
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,OVER 50 YEARS,4,4692,2.67,24487,13.92,582
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,UNDER CONSTRUCTION,5,2370,1.35,9599,5.46,109
KHYBER PAKTUNKHWA,015,SWABI DISTRICT,SWABI DISTRICT,TOTAL,LESS THAN 5 YEARS,5,19966,11.35,9599,5.46,1009
