province_name,district_code,district_name,area_name,area_type,ownership_status,number_of_rooms,total_housing_units_by_ownership,percent_of_total_units_by_ownership,total_housing_units_by_size,percent_of_total_units_by_size,count
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,RURAL,RENT FREE,4,6926,4.21,26258,15.97,622
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,RURAL,OWNED,5,97138,59.07,11439,6.96,9437
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,RURAL,RENTED,5,60386,36.72,11439,6.96,1721
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,RURAL,RENT FREE,5,6926,4.21,11439,6.96,281
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,RURAL,OWNED,6,97138,59.07,9037,5.5,7902
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,RURAL,RENTED,6,60386,36.72,9037,5.5,943
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,RURAL,RENT FREE,6,6926,4.21,9037,5.5,192
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,RURAL,OWNED,7,97138,59.07,3358,2.04,2882
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,RURAL,RENTED,7,60386,36.72,3358,2.04,386
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,RURAL,RENT FREE,7,6926,4.21,3358,2.04,90
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,RURAL,OWNED,8,97138,59.07,2765,1.68,2495
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,RURAL,RENTED,8,60386,36.72,2765,1.68,199
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,RURAL,RENT FREE,8,6926,4.21,2765,1.68,71
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,RURAL,OWNED,9,97138,59.07,3491,2.12,3058
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,RURAL,RENTED,9,60386,36.72,3491,2.12,302
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,RURAL,RENT FREE,9,6926,4.21,3491,2.12,131
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,OWNED,1,69699,41.56,20823,12.42,5362
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,RENTED,1,83489,49.79,20823,12.42,12132
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,RENT FREE,1,14507,8.65,20823,12.42,3329
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,OWNED,2,69699,41.56,47499,28.32,14479
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,RENTED,2,83489,49.79,47499,28.32,27714
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,RENT FREE,2,14507,8.65,47499,28.32,5306
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,OWNED,3,69699,41.56,47195,28.14,17660
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,RENTED,3,83489,49.79,47195,28.14,26137
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,RENT FREE,3,14507,8.65,47195,28.14,3398
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,OWNED,4,69699,41.56,23695,14.13,12192
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,RENTED,4,83489,49.79,23695,14.13,10527
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,RENT FREE,4,14507,8.65,23695,14.13,976
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,OWNED,5,69699,41.56,10587,6.31,6734
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,RENTED,5,83489,49.79,10587,6.31,3346
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,RENT FREE,5,14507,8.65,10587,6.31,507
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,OWNED,6,69699,41.56,7840,4.68,5595
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,RENTED,6,83489,49.79,7840,4.68,1864
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,RENT FREE,6,14507,8.65,7840,4.68,381
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,OWNED,7,69699,41.56,3334,1.99,2422
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,RENTED,7,83489,49.79,3334,1.99,780
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,RENT FREE,7,14507,8.65,3334,1.99,132
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,OWNED,8,69699,41.56,2483,1.48,1930
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,RENTED,8,83489,49.79,2483,1.48,317
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,RENT FREE,8,14507,8.65,2483,1.48,236
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,OWNED,9,69699,41.56,4239,2.53,3325
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,RENTED,9,83489,49.79,4239,2.53,672
ISLAMABAD CAPITAL TERRITORY,135,ISLAMABAD,ISLAMABAD,URBAN,RENT FREE,9,14507,8.65,4239,2.53,242
