province_name,district_code,district_name,area_name,area_type,ownership_status,number_of_rooms,total_housing_units_by_ownership,percent_of_total_units_by_ownership,total_housing_units_by_size,percent_of_total_units_by_size,count
FATA,033,FR BANNU,FR BANNU,TOTAL,OWNED,1,4014,97.93,455,11.1,439
FATA,033,FR BANNU,FR BANNU,TOTAL,RENTED,1,7,0.17,455,11.1,0
FATA,033,FR BANNU,FR BANNU,TOTAL,RENT FREE,1,78,1.9,455,11.1,16
FATA,033,FR BANNU,FR BANNU,TOTAL,OWNED,2,4014,97.93,650,15.86,624
FATA,033,FR BANNU,FR BANNU,TOTAL,RENTED,2,7,0.17,650,15.86,1
FATA,033,FR BANNU,FR BANNU,TOTAL,RENT FREE,2,78,1.9,650,15.86,25
FATA,033,FR BANNU,FR BANNU,TOTAL,OWNED,3,4014,97.93,713,17.39,692
FATA,033,FR BANNU,FR BANNU,TOTAL,RENTED,3,7,0.17,713,17.39,1
FATA,033,FR BANNU,FR BANNU,TOTAL,RENT FREE,3,78,1.9,713,17.39,20
FATA,033,FR BANNU,FR BANNU,TOTAL,OWNED,4,4014,97.93,835,20.37,828
FATA,033,FR BANNU,FR BANNU,TOTAL,RENTED,4,7,0.17,835,20.37,2
FATA,033,FR BANNU,FR BANNU,TOTAL,RENT FREE,4,78,1.9,835,20.37,5
FATA,033,FR BANNU,FR BANNU,TOTAL,OWNED,5,4014,97.93,818,19.96,810
FATA,033,FR BANNU,FR BANNU,TOTAL,RENTED,5,7,0.17,818,19.96,3
FATA,033,FR BANNU,FR BANNU,TOTAL,RENT FREE,5,78,1.9,818,19.96,5
FATA,033,FR BANNU,FR BANNU,TOTAL,OWNED,6,4014,97.93,204,4.98,203
FATA,033,FR BANNU,FR BANNU,TOTAL,RENTED,6,7,0.17,204,4.98,0
FATA,033,FR BANNU,FR BANNU,TOTAL,RENT FREE,6,78,1.9,204,4.98,1
FATA,033,FR BANNU,FR BANNU,TOTAL,OWNED,7,4014,97.93,155,3.78,154
FATA,033,FR BANNU,FR BANNU,TOTAL,RENTED,7,7,0.17,155,3.78,0
FATA,033,FR BANNU,FR BANNU,TOTAL,RENT FREE,7,78,1.9,155,3.78,1
