province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,housing_component,housing_material,total_by_material,percent_by_material,count
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,OWNED,190521,66.93,WALL,BAKED BRICKS/BLOCKS/STONES,118577,41.66,98214
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,OWNED,190521,66.93,WALL,UNBAKED BRICKS/MUD,84727,29.77,50517
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,OWNED,190521,66.93,WALL,WOOD/BAMBOO,71046,24.96,37506
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,OWNED,190521,66.93,WALL,OTHERS,10297,3.62,4284
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,OWNED,190521,66.93,ROOF,RCC/RBC,36895,12.96,27907
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,OWNED,190521,66.93,ROOF,CEMENT/IRON SHEETS,4217,1.48,3488
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,OWNED,190521,66.93,ROOF,GARDER/T.IRON,69339,24.36,59443
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,OWNED,190521,66.93,ROOF,WOOD/BAMBOO,166964,58.66,96083
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,OWNED,190521,66.93,ROOF,OTHERS,7232,2.54,3600
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,RENTED,12768,4.49,WALL,BAKED BRICKS/BLOCKS/STONES,118577,41.66,10478
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,RENTED,12768,4.49,WALL,UNBAKED BRICKS/MUD,84727,29.77,1517
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,RENTED,12768,4.49,WALL,WOOD/BAMBOO,71046,24.96,605
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,RENTED,12768,4.49,WALL,OTHERS,10297,3.62,168
SINDH,098,MIRPUR KHAS DISTRICT,MIRPUR KHAS DISTRICT,TOTAL,RENTED,12768,4.49,ROOF,RCC/RBC,36895,12.96,5756
