province_name,district_code,district_name,area_name,area_type,household_sizes,number_of_rooms,total_housing_units_by_hh_size,percent_of_total_units_by_hh_size,rooms_per_housing_unit,total_housing_units_by_room_size,percent_of_total_units_by_room_size,persons_per_housing_unit,count
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,1 PERSON,1,4172,1.93,1.89,57792,26.78,4.98,2166
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,2 PERSONS,1,12348,5.72,1.85,57792,26.78,4.98,6046
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,3 PERSONS,1,17913,8.3,2,57792,26.78,4.98,7497
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,4 PERSONS,1,26132,12.11,2.12,57792,26.78,4.98,9414
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,5 PERSONS,1,33993,15.75,2.27,57792,26.78,4.98,10182
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,6 PERSONS,1,35447,16.43,2.36,57792,26.78,4.98,9225
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,7 PERSONS,1,28278,13.11,2.49,57792,26.78,4.98,6141
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,8 PERSONS,1,19603,9.08,2.63,57792,26.78,4.98,3550
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,9 PERSONS,1,12543,5.81,2.82,57792,26.78,4.98,1807
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,10 PERSONS AND ABOVE,1,25349,11.75,3.5,57792,26.78,4.98,1764
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,1 PERSON,2,4172,1.93,1.89,76939,35.66,6.02,1114
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,2 PERSONS,2,12348,5.72,1.85,76939,35.66,6.02,3929
