province_name,district_code,district_name,area_name,locality_size,locality_count,gender,total_population
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,414,ALL SEXES,1109862
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,414,MALE,565930
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,414,FEMALE,543831
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,TOTAL,414,TRANSGENDER,101
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,"5,000 AND ABOVE",62,ALL SEXES,525925
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,"5,000 AND ABOVE",62,MALE,268430
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,"5,000 AND ABOVE",62,FEMALE,257436
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,"5,000 AND ABOVE",62,TRANSGENDER,59
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,"2,000 - 4,999",122,ALL SEXES,392003
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,"2,000 - 4,999",122,MALE,199487
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,"2,000 - 4,999",122,FEMALE,192485
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,"2,000 - 4,999",122,TRANSGENDER,31
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,"1,000 - 1,999",91,ALL SEXES,134721
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,"1,000 - 1,999",91,MALE,68822
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,"1,000 - 1,999",91,FEMALE,65890
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,"1,000 - 1,999",91,TRANSGENDER,9
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,500 - 999,56,ALL SEXES,40753
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,500 - 999,56,MALE,20763
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,500 - 999,56,FEMALE,19988
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,500 - 999,56,TRANSGENDER,2
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,200 - 499,36,ALL SEXES,13281
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,200 - 499,36,MALE,6818
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,200 - 499,36,FEMALE,6463
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,200 - 499,36,TRANSGENDER,0
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,LESS THAN 200,39,ALL SEXES,3179
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,LESS THAN 200,39,MALE,1610
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,LESS THAN 200,39,FEMALE,1569
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,LESS THAN 200,39,TRANSGENDER,0
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,UN-INHABITED,8,ALL SEXES,0
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,UN-INHABITED,8,MALE,0
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,UN-INHABITED,8,FEMALE,0
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB DISTRICT,UN-INHABITED,8,TRANSGENDER,0
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,TOTAL,342,ALL SEXES,773871
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,TOTAL,342,MALE,396393
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,TOTAL,342,FEMALE,377408
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,TOTAL,342,TRANSGENDER,70
PUNJAB,055,NANKANA SAHIB DISTRICT,NANKANA SAHIB TEHSIL,"5,000 AND ABOVE",34,ALL SEXES,324069
