province_name,district_code,district_name,area_name,area_type,ownership_status,total_by_tenure,percent_by_tenure,utility,source,total_by_source,percent_by_source,count
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,RENTED,34181,11.1,OUTSIDE WATER,ELECTRIC/HAND PUMP,6337,2.06,1589
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,RENTED,34181,11.1,OUTSIDE WATER,PROTECTED WELL,738,0.24,72
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,RENTED,34181,11.1,OUTSIDE WATER,UN-PROTECTED WELL,397,0.13,77
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,RENTED,34181,11.1,OUTSIDE WATER,SPRING,618,0.2,45
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,RENTED,34181,11.1,OUTSIDE WATER,CANAL/RIVER/POND,137,0.04,19
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,RENTED,34181,11.1,OUTSIDE WATER,OTHERS,4222,1.37,621
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,RENTED,34181,11.1,COOKING FUEL,WOOD,209392,67.97,792
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,RENTED,34181,11.1,COOKING FUEL,GAS,93462,30.34,1589
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,RENTED,34181,11.1,COOKING FUEL,KEROSENE OIL,190,0.06,72
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,RENTED,34181,11.1,COOKING FUEL,OTHERS,5005,1.62,77
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,RENTED,34181,11.1,LIGHTING SOURCE,ELECTRICITY,209392,67.97,17051
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,RENTED,34181,11.1,LIGHTING SOURCE,KEROSENE OIL,93462,30.34,15880
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,RENTED,34181,11.1,LIGHTING SOURCE,GAS LAMP,190,0.06,51
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,RENTED,34181,11.1,LIGHTING SOURCE,OTHERS,5005,1.62,1199
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,RENT FREE,25448,8.26,INSIDE WATER,TOTAL INSIDE,293418,95.25,21346
KHYBER PAKTUNKHWA,014,MARDAN DISTRICT,MARDAN DISTRICT,TOTAL,RENT FREE,25448,8.26,INSIDE WATER,TAP,27555,8.95,2002
